# 	Incident energy (eV)	Intensity (arb. units)
       524.0000000000           0.1036273926
       524.3243243243           0.1558223145
       524.6486486486           0.2011979980
       524.9729729730           0.2688383301
       525.2972972973           0.2174096436
       525.6216216216           0.3817175293
       525.9459459459           0.4097130859
       526.2702702703           1.3344199219
       526.5945945946           3.5130718750
       526.9189189189           5.2167929688
       527.2432432432           4.8319835938
       527.5675675676           2.4888650391
       527.8918918919           1.1467666016
       528.2162162162           0.8565718750
       528.5405405405           0.7475574219
       528.8648648649           1.0904636719
       529.1891891892           1.5620470703
       529.5135135135           1.8219330078
       529.8378378378           1.6684687500
       530.1621621622           1.1213478516
       530.4864864865           1.0672046875
       530.8108108108           1.2192140625
       531.1351351351           1.3052848633
       531.4594594595           1.0487742187
       531.7837837838           0.6615326172
       532.1081081081           0.4117562988
       532.4324324324           0.5186007324
       532.7567567568           0.5006358398
       533.0810810811           0.5487658691
       533.4054054054           0.4919221680
       533.7297297297           0.3936752930
       534.0540540541           0.3854522949
       534.3783783784           0.2769514160
       534.7027027027           0.2830751953
       535.0270270270           0.3748350342
       535.3513513514           0.2194388184
       535.6756756757           0.2154496094
       536.0000000000           0.2507036133
