# 	2theta (deg)	Intensity (arb. units)
    121.7348887369         -0.0494284332
    121.9015565413          0.2857980713
    122.0682167186          0.4318786133
    122.2348845230          0.3553304199
    122.4015675816          0.2752536377
    122.5682201318          0.3202955811
    122.7348879362          0.3945143799
    122.9015557405          0.2777445801
    123.0682235449          0.2384583008
    123.2348837222          0.3504486084
    123.4015515266          0.4480646973
    123.5682117039          0.2898425537
    123.7348871354          0.6202780273
    123.9015549397          0.7796951172
    124.0682227441          1.1149419922
    124.2348829214          2.8351115234
    124.4015507258          4.6758875000
    124.5682337844          4.9092292969
    124.7348863346          3.1036171875
    124.9015541390          1.6387414063
    125.0682219433          1.0293927734
    125.2348897477          0.8398129883
    125.4015499250          0.8261677734
    125.5682177294          0.5409323242
    125.7348855338          0.4853041992
    125.9015533382          0.5061481445
    126.0682135154          0.4954757813
    126.2348889469          0.4426228516
    126.4015567513          0.6696555176
    126.5682169286          0.5988868652
    126.7348923601          0.7765145020
