# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)
    119.6184698321          0.0628689216                0.0086220399
    119.6684698321          0.0674259959                0.0087965399
    119.7184698321          0.0719830701                0.0089763857
    119.7684698321          0.0765401444                0.0091617975
    119.8184698321          0.0810972187                0.0093530072
    119.8684698321          0.0856542929                0.0095502587
    119.9184698321          0.0902113672                0.0097538090
    119.9684698321          0.0947684414                0.0099639288
    120.0184698321          0.0993255157                0.0101809036
    120.0684698321          0.1038825900                0.0104050344
    120.1184698321          0.1084396642                0.0106366389
    120.1684698321          0.1129967385                0.0108760528
    120.2184698321          0.1175538127                0.0111236306
    120.2684698321          0.1221108870                0.0113797473
    120.3184698321          0.1266679613                0.0116447994
    120.3684698321          0.1312250355                0.0119192070
    120.4184698321          0.1357821098                0.0122034148
    120.4684698321          0.1403391841                0.0124978944
    120.5184698321          0.1448962583                0.0128031461
    120.5684698321          0.1494533326                0.0131197009
    120.6184698321          0.1540104068                0.0134481227
    120.6684698321          0.1585674811                0.0137890113
    120.7184698321          0.1631245554                0.0141430047
    120.7684698321          0.1676816296                0.0145107818
    120.8184698321          0.1722387039                0.0148930666
    120.8684698321          0.1767957781                0.0152906306
    120.9184698321          0.1813528524                0.0157042974
    120.9684698321          0.1859099267                0.0161349470
    121.0184698321          0.1904670009                0.0165835197
    121.0684698321          0.1950240752                0.0170510220
    121.1184698321          0.1995811494                0.0175385317
    121.1684698321          0.2041382237                0.0180472046
    121.2184698321          0.2086952980                0.0185782805
    121.2684698321          0.2132523722                0.0191330914
    121.3184698321          0.2178094465                0.0197130696
    121.3684698321          0.2223665208                0.0203197565
    121.4184698321          0.2269235950                0.0209548133
    121.4684698321          0.2314806693                0.0216200320
    121.5184698321          0.2360377435                0.0223173478
    121.5684698321          0.2405948178                0.0230488533
    121.6184698321          0.2451518921                0.0238168139
    121.6684698321          0.2497089663                0.0246236852
    121.7184698321          0.2542660406                0.0254721323
    121.7684698321          0.2588231148                0.0263650519
    121.8184698321          0.2633801891                0.0273055963
    121.8684698321          0.2679372634                0.0282972013
    121.9184698321          0.2724943376                0.0293436169
    121.9684698321          0.2770514119                0.0304489425
    122.0184698321          0.2816084862                0.0316176664
    122.0684698321          0.2861655604                0.0328547107
    122.1184698321          0.2907226347                0.0341654827
    122.1684698321          0.2952797089                0.0355559328
    122.2184698321          0.2998367832                0.0370326212
    122.2684698321          0.3043938575                0.0386027937
    122.3184698321          0.3089509317                0.0402744696
    122.3684698321          0.3135080060                0.0420565421
    122.4184698321          0.3180650802                0.0439588943
    122.4684698321          0.3226221545                0.0459925336
    122.5184698321          0.3271792288                0.0481697480
    122.5684698321          0.3317363030                0.0505042879
    122.6184698321          0.3362933773                0.0530115780
    122.6684698321          0.3408504516                0.0557089666
    122.7184698321          0.3454075258                0.0586160180
    122.7684698321          0.3499646001                0.0617548588
    122.8184698321          0.3545216743                0.0651505869
    122.8684698321          0.3590787486                0.0688317591
    122.9184698321          0.3636358229                0.0728309732
    122.9684698321          0.3681928971                0.0771855664
    123.0184698321          0.3727499714                0.0819384573
    123.0684698321          0.3773070456                0.0871391643
    123.1184698321          0.3818641199                0.0928450469
    123.1684698321          0.3864211942                0.0991228246
    123.2184698321          0.3909782684                0.1060504520
    123.2684698321          0.3955353427                0.1137194578
    123.3184698321          0.4000924170                0.1222379149
    123.3684698321          0.4046494912                0.1317343128
    123.4184698321          0.4092065655                0.1423628235
    123.4684698321          0.4137636397                0.1543108703
    123.5184698321          0.4183207140                0.1678107146
    123.5684698321          0.4228777883                0.1831582020
    123.6184698321          0.4274348625                0.2007441329
    123.6684698321          0.4319919368                0.2211070996
    123.7184698321          0.4365490110                0.2450207285
    123.7684698321          0.4411060853                0.2736318063
    123.8184698321          0.4456631596                0.3086659450
    123.8684698321          0.4502202338                0.3527098002
    123.9184698321          0.4547773081                0.4095582189
    123.9684698321          0.4593343823                0.4845777235
    124.0184698321          0.4638914566                0.5849871310
    124.0684698321          0.4684485309                0.7199047167
    124.1184698321          0.4730056051                0.8999827915
    124.1684698321          0.4775626794                1.1364716590
    124.2184698321          0.4821197537                1.4396369441
    124.2684698321          0.4866768279                1.8165656173
    124.3184698321          0.4912339022                2.2684409902
    124.3684698321          0.4957909764                2.7872109567
    124.4184698321          0.5003480507                3.3512170063
    124.4684698321          0.5049051250                3.9194264278
    124.5184698321          0.5094621992                4.4263279260
    124.5684698321          0.5140192735                4.7859682014
    124.6184698321          0.5185763477                4.9173220087
    124.6684698321          0.5231334220                4.7859682014
    124.7184698321          0.5276904963                4.4263279260
    124.7684698321          0.5322475705                3.9194264278
    124.8184698321          0.5368046448                3.3512170063
    124.8684698321          0.5413617191                2.7872109567
    124.9184698321          0.5459187933                2.2684409902
    124.9684698321          0.5504758676                1.8165656173
    125.0184698321          0.5550329418                1.4396369441
    125.0684698321          0.5595900161                1.1364716590
    125.1184698321          0.5641470904                0.8999827915
    125.1684698321          0.5687041646                0.7199047167
    125.2184698321          0.5732612389                0.5849871310
    125.2684698321          0.5778183131                0.4845777235
    125.3184698321          0.5823753874                0.4095582189
    125.3684698321          0.5869324617                0.3527098002
    125.4184698321          0.5914895359                0.3086659450
    125.4684698321          0.5960466102                0.2736318063
    125.5184698321          0.6006036845                0.2450207285
    125.5684698321          0.6051607587                0.2211070996
    125.6184698321          0.6097178330                0.2007441329
    125.6684698321          0.6142749072                0.1831582020
    125.7184698321          0.6188319815                0.1678107146
    125.7684698321          0.6233890558                0.1543108703
    125.8184698321          0.6279461300                0.1423628235
    125.8684698321          0.6325032043                0.1317343128
    125.9184698321          0.6370602785                0.1222379149
    125.9684698321          0.6416173528                0.1137194578
    126.0184698321          0.6461744271                0.1060504520
    126.0684698321          0.6507315013                0.0991228246
    126.1184698321          0.6552885756                0.0928450469
    126.1684698321          0.6598456499                0.0871391643
    126.2184698321          0.6644027241                0.0819384573
    126.2684698321          0.6689597984                0.0771855664
    126.3184698321          0.6735168726                0.0728309732
    126.3684698321          0.6780739469                0.0688317591
    126.4184698321          0.6826310212                0.0651505869
    126.4684698321          0.6871880954                0.0617548588
    126.5184698321          0.6917451697                0.0586160180
    126.5684698321          0.6963022439                0.0557089666
    126.6184698321          0.7008593182                0.0530115780
    126.6684698321          0.7054163925                0.0505042879
    126.7184698321          0.7099734667                0.0481697480
    126.7684698321          0.7145305410                0.0459925336
    126.8184698321          0.7190876152                0.0439588943
    126.8684698321          0.7236446895                0.0420565421
    126.9184698321          0.7282017638                0.0402744696
    126.9684698321          0.7327588380                0.0386027937
    127.0184698321          0.7373159123                0.0370326212
    127.0684698321          0.7418729866                0.0355559328
    127.1184698321          0.7464300608                0.0341654827
    127.1684698321          0.7509871351                0.0328547107
    127.2184698321          0.7555442093                0.0316176664
    127.2684698321          0.7601012836                0.0304489425
    127.3184698321          0.7646583579                0.0293436169
    127.3684698321          0.7692154321                0.0282972013
    127.4184698321          0.7737725064                0.0273055963
    127.4684698321          0.7783295806                0.0263650519
    127.5184698321          0.7828866549                0.0254721323
    127.5684698321          0.7874437292                0.0246236852
    127.6184698321          0.7920008034                0.0238168139
    127.6684698321          0.7965578777                0.0230488533
    127.7184698321          0.8011149520                0.0223173478
    127.7684698321          0.8056720262                0.0216200320
    127.8184698321          0.8102291005                0.0209548133
    127.8684698321          0.8147861747                0.0203197565
    127.9184698321          0.8193432490                0.0197130696
    127.9684698321          0.8239003233                0.0191330914
    128.0184698321          0.8284573975                0.0185782805
    128.0684698321          0.8330144718                0.0180472046
    128.1184698321          0.8375715460                0.0175385317
    128.1684698321          0.8421286203                0.0170510220
    128.2184698321          0.8466856946                0.0165835197
    128.2684698321          0.8512427688                0.0161349470
    128.3184698321          0.8557998431                0.0157042974
    128.3684698321          0.8603569174                0.0152906306
    128.4184698321          0.8649139916                0.0148930666
    128.4684698321          0.8694710659                0.0145107818
    128.5184698321          0.8740281401                0.0141430047
    128.5684698321          0.8785852144                0.0137890113
    128.6184698321          0.8831422887                0.0134481227
    128.6684698321          0.8876993629                0.0131197009
    128.7184698321          0.8922564372                0.0128031461
    128.7684698321          0.8968135114                0.0124978944
    128.8184698321          0.9013705857                0.0122034148
    128.8684698321          0.9059276600                0.0119192070
    128.9184698321          0.9104847342                0.0116447994
    128.9684698321          0.9150418085                0.0113797473
    129.0184698321          0.9195988828                0.0111236306
    129.0684698321          0.9241559570                0.0108760528
    129.1184698321          0.9287130313                0.0106366389
    129.1684698321          0.9332701055                0.0104050344
    129.2184698321          0.9378271798                0.0101809036
    129.2684698321          0.9423842541                0.0099639288
    129.3184698321          0.9469413283                0.0097538090
    129.3684698321          0.9514984026                0.0095502587
    129.4184698321          0.9560554768                0.0093530072
    129.4684698321          0.9606125511                0.0091617975
    129.5184698321          0.9651696254                0.0089763857
    129.5684698321          0.9697266996                0.0087965399
    129.6184698321          0.9742837739                0.0086220399
