# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)	Magnetic peak (arb. units)
    118.5238445605         -0.3184700071                0.0093158622                0.2464775081
    118.5738445605         -0.3137050546                0.0095154429                0.2513912634
    118.6238445605         -0.3089401021                0.0097214984                0.2564524962
    118.6738445605         -0.3041751496                0.0099343112                0.2616671284
    118.7238445605         -0.2994101971                0.0101541797                0.2670413803
    118.7738445605         -0.2946452446                0.0103814190                0.2725817882
    118.8238445605         -0.2898802921                0.0106163617                0.2782952242
    118.8738445605         -0.2851153397                0.0108593594                0.2841889167
    118.9238445605         -0.2803503872                0.0111107841                0.2902704725
    118.9738445605         -0.2755854347                0.0113710294                0.2965479010
    119.0238445605         -0.2708204822                0.0116405121                0.3030296396
    119.0738445605         -0.2660555297                0.0119196740                0.3097245812
    119.1238445605         -0.2612905772                0.0122089833                0.3166421036
    119.1738445605         -0.2565256247                0.0125089372                0.3237921019
    119.2238445605         -0.2517606723                0.0128200633                0.3311850220
    119.2738445605         -0.2469957198                0.0131429225                0.3388318982
    119.3238445605         -0.2422307673                0.0134781112                0.3467443926
    119.3738445605         -0.2374658148                0.0138262641                0.3549348380
    119.4238445605         -0.2327008623                0.0141880571                0.3634162846
    119.4738445605         -0.2279359098                0.0145642109                0.3722025499
    119.5238445605         -0.2231709573                0.0149554940                0.3813082727
    119.5738445605         -0.2184060049                0.0153627272                0.3907489722
    119.6238445605         -0.2136410524                0.0157867875                0.4005411115
    119.6738445605         -0.2088760999                0.0162286127                0.4107021661
    119.7238445605         -0.2041111474                0.0166892070                0.4212506991
    119.7738445605         -0.1993461949                0.0171696462                0.4322064425
    119.8238445605         -0.1945812424                0.0176710843                0.4435903853
    119.8738445605         -0.1898162899                0.0181947599                0.4554248697
    119.9238445605         -0.1850513375                0.0187420043                0.4677336964
    119.9738445605         -0.1802863850                0.0193142497                0.4805422383
    120.0238445605         -0.1755214325                0.0199130383                0.4938775660
    120.0738445605         -0.1707564800                0.0205400328                0.5077685847
    120.1238445605         -0.1659915275                0.0211970278                0.5222461840
    120.1738445605         -0.1612265750                0.0218859625                0.5373434034
    120.2238445605         -0.1564616225                0.0226089348                0.5530956139
    120.2738445605         -0.1516966701                0.0233682172                0.5695407196
    120.3238445605         -0.1469317176                0.0241662746                0.5867193817
    120.3738445605         -0.1421667651                0.0250057835                0.6046752681
    120.4238445605         -0.1374018126                0.0258896551                0.6234553342
    120.4738445605         -0.1326368601                0.0268210592                0.6431101406
    120.5238445605         -0.1278719076                0.0278034533                0.6636942156
    120.5738445605         -0.1231069551                0.0288406134                0.6852664720
    120.6238445605         -0.1183420026                0.0299366703                0.7078906916
    120.6738445605         -0.1135770502                0.0310961501                0.7316360947
    120.7238445605         -0.1088120977                0.0323240201                0.7565780148
    120.7738445605         -0.1040471452                0.0336257412                0.7827987082
    120.8238445605         -0.0992821927                0.0350073279                0.8103883315
    120.8738445605         -0.0945172402                0.0364754164                0.8394461342
    120.9238445605         -0.0897522877                0.0380373430                0.8700819192
    120.9738445605         -0.0849873352                0.0397012343                0.9024178424
    121.0238445605         -0.0802223828                0.0414761107                0.9365906318
    121.0738445605         -0.0754574303                0.0433720063                0.9727543277
    121.1238445605         -0.0706924778                0.0454001081                1.0110836581
    121.1738445605         -0.0659275253                0.0475729171                1.0517781841
    121.2238445605         -0.0611625728                0.0499044371                1.0950673622
    121.2738445605         -0.0563976203                0.0524103947                1.1412166863
    121.3238445605         -0.0516326678                0.0551084979                1.1905350760
    121.3738445605         -0.0468677154                0.0580187412                1.2433836777
    121.4238445605         -0.0421027629                0.0611637652                1.3001862298
    121.4738445605         -0.0373378104                0.0645692848                1.3614411162
    121.5238445605         -0.0325728579                0.0682645982                1.4277351800
    121.5738445605         -0.0278079054                0.0722831966                1.4997592992
    121.6238445605         -0.0230429529                0.0766634968                1.5783256269
    121.6738445605         -0.0182780004                0.0814497258                1.6643862701
    121.7238445605         -0.0135130480                0.0866929943                1.7590530270
    121.7738445605         -0.0087480955                0.0924526067                1.8636176203
    121.8238445605         -0.0039831430                0.0987976745                1.9795716614
    121.8738445605          0.0007818095                0.1058091210                2.1086253649
    121.9238445605          0.0055467620                0.1135822198                2.2527238190
    121.9738445605          0.0103117145                0.1222298950                2.4140594169
    122.0238445605          0.0150766670                0.1318871910                2.5950788909
    122.0738445605          0.0198416195                0.1427176676                2.7984832796
    122.1238445605          0.0246065719                0.1549231295                3.0272191239
    122.1738445605          0.0293715244                0.1687592499                3.2844592427
    122.2238445605          0.0341364769                0.1845615287                3.5735715968
    122.2738445605          0.0389014294                0.2027887466                3.8980750109
    122.3238445605          0.0436663819                0.2240944520                4.2615808732
    122.3738445605          0.0484313344                0.2494400895                4.6677203365
    122.4238445605          0.0531962869                0.2802640785                5.1200569584
    122.4738445605          0.0579612393                0.3187160611                5.6219850477
    122.5238445605          0.0627261918                0.3679504912                6.1766141400
    122.5738445605          0.0674911443                0.4324456012                6.7866398758
    122.6238445605          0.0722560968                0.5182735105                7.4542009670
    122.6738445605          0.0770210493                0.6332032992                8.1807207994
    122.7238445605          0.0817860018                0.7864885632                8.9667304549
    122.7738445605          0.0865509543                0.9881964061                9.8116676235
    122.8238445605          0.0913159067                1.2479906260               10.7136432987
    122.8738445605          0.0960808592                1.5733753319               11.6691660051
    122.9238445605          0.1008458117                1.9674765458               12.6728128956
    122.9738445605          0.1056107642                2.4263841179               13.7168404592
    123.0238445605          0.1103757167                2.9358264083               14.7907378029
    123.0738445605          0.1151406692                3.4667507177               15.8807460750
    123.1238445605          0.1199056217                3.9703210223               16.9694016331
    123.1738445605          0.1246705741                4.3767482083               18.0352080837
    123.2238445605          0.1294355266                4.6078461131               19.0525964936
    123.2738445605          0.1342004791                4.6085587036               19.9923757264
    123.3238445605          0.1389654316                4.3787030749               20.8228750225
    123.3738445605          0.1437303841                3.9730868316               21.5119018599
    123.4238445605          0.1484953366                3.4698674874               22.0294576381
    123.4738445605          0.1532602891                2.9389397736               22.3508938224
    123.5238445605          0.1580252416                2.4292679857               22.4599372410
    123.5738445605          0.1627901940                1.9700075508               22.3508938224
    123.6238445605          0.1675551465                1.5755032851               22.0294576381
    123.6738445605          0.1723200990                1.2497159565               21.5119018599
    123.7238445605          0.1770850515                0.9895528528               20.8228750225
    123.7738445605          0.1818500040                0.7875288165               19.9923757264
    123.8238445605          0.1866149565                0.6339871567               19.0525964936
    123.8738445605          0.1913799090                0.5188590240               18.0352080837
    123.9238445605          0.1961448614                0.4328835296               16.9694016331
    123.9738445605          0.2009098139                0.3682818050               15.8807460750
    124.0238445605          0.2056747664                0.3189717659               14.7907378029
    124.0738445605          0.2104397189                0.2804664518               13.7168404592
    124.1238445605          0.2152046714                0.2496045166               12.6728128956
    124.1738445605          0.2199696239                0.2242312888               11.6691660051
    124.2238445605          0.2247345764                0.2029048979               10.7136432987
    124.2738445605          0.2294995288                0.1846616376                9.8116676235
    124.3238445605          0.2342644813                0.1688465200                8.9667304549
    124.3738445605          0.2390294338                0.1549998566                8.1807207994
    124.4238445605          0.2437943863                0.1427855684                7.4542009670
    124.4738445605          0.2485593388                0.1319475993                6.7866398758
    124.5238445605          0.2533242913                0.1222838798                6.1766141400
    124.5738445605          0.2580892438                0.1136306566                5.6219850477
    124.6238445605          0.2628541962                0.1058527382                5.1200569584
    124.6738445605          0.2676191487                0.0988370841                4.6677203365
    124.7238445605          0.2723841012                0.0924883271                4.2615808732
    124.7738445605          0.2771490537                0.0867254668                3.8980750109
    124.8238445605          0.2819140062                0.0814793287                3.5735715968
    124.8738445605          0.2866789587                0.0766905550                3.2844592427
    124.9238445605          0.2914439112                0.0723079910                3.0272191239
    124.9738445605          0.2962088637                0.0682873722                2.7984832796
    125.0238445605          0.3009738161                0.0645902504                2.5950788909
    125.0738445605          0.3057387686                0.0611831073                2.4140594169
    125.1238445605          0.3105037211                0.0580366220                2.2527238190
    125.1738445605          0.3152686736                0.0551250600                2.1086253649
    125.2238445605          0.3200336261                0.0524257637                1.9795716614
    125.2738445605          0.3247985786                0.0499187242                1.8636176203
    125.3238445605          0.3295635311                0.0475862209                1.7590530270
    125.3738445605          0.3343284835                0.0454125162                1.6643862701
    125.4238445605          0.3390934360                0.0433835970                1.5783256269
    125.4738445605          0.3438583885                0.0414869538                1.4997592992
    125.5238445605          0.3486233410                0.0397113925                1.4277351800
    125.5738445605          0.3533882935                0.0380468725                1.3614411162
    125.6238445605          0.3581532460                0.0364843677                1.3001862298
    125.6738445605          0.3629181985                0.0350157466                1.2433836777
    125.7238445605          0.3676831509                0.0336336687                1.1905350760
    125.7738445605          0.3724481034                0.0323314936                1.1412166863
    125.8238445605          0.3772130559                0.0311032036                1.0950673622
    125.8738445605          0.3819780084                0.0299433345                1.0517781841
    125.9238445605          0.3867429609                0.0288469163                1.0110836581
    125.9738445605          0.3915079134                0.0278094205                0.9727543277
    126.0238445605          0.3962728659                0.0268267141                0.9365906318
    126.0738445605          0.4010378183                0.0258950189                0.9024178424
    126.1238445605          0.4058027708                0.0250108759                0.8700819192
    126.1738445605          0.4105677233                0.0241711135                0.8394461342
    126.2238445605          0.4153326758                0.0233728192                0.8103883315
    126.2738445605          0.4200976283                0.0226133149                0.7827987082
