# 	Incident energy (eV)	Temperature (K)	Background slope		Background slope error	Background intercept	Background intercept error	Structural center	Structural center error	Structural amplitude	Structural amplitude error	Structural sigma	Structural sigma error	Structural fraction	Structural fraction error	Structural height	Structural height error	Structural fwhm	Structural fwhm error	Magnetic center	Magnetic center error	Magnetic amplitude	Magnetic amplitude error	Magnetic sigma	Magnetic sigma error	Magnetic fraction	Magnetic fraction error	Magnetic height	Magnetic height error	Magnetic fwhm	Magnetic fwhm error
             524.0              25.0          0.0821618079             0.0155543677             -9.8269705293          1.9271748186            124.5007308390            0.0057845699                3.2331371451             0.1849623018        0.2619829835      0.0094610028              0.5419652668             0.1355466758           4.7841240442              0.1310193160           0.5239659669        0.0189220056                 nan                 nan                 nan                    nan                   nan                 nan                 nan                      nan                   nan                 nan                nan                 nan
             524.0              35.0          0.0952990497             0.0152424415            -11.6136797633          1.8796005808            124.4862098267            0.0059484435                3.5653917612             0.1930634565        0.2862677057      0.0097365174              0.6425622838             0.1174253932           4.6385099175              0.1184759696           0.5725354113        0.0194730348                 nan                 nan                 nan                    nan                   nan                 nan                 nan                      nan                   nan                 nan                nan                 nan
             524.0              60.0          0.0974366986             0.0158759112            -11.6396875011          1.9695660736            124.4590707918            0.0060161344                3.3845455266             0.1866928933        0.2643467583      0.0096032988              0.6026937004             0.1257019741           4.8456574644              0.1306627839           0.5286935165        0.0192065976                 nan                 nan                 nan                    nan                   nan                 nan                 nan                      nan                   nan                 nan                nan                 nan
             524.0             100.0         -0.0070902700             0.0154244829              0.8033670504          1.9065038517            124.5042934128            0.0047698991                4.2094456757             0.1775070663        0.2567499299      0.0089121893              0.7839242072             0.0924330817           5.7551073766              0.1337378125           0.5134998597        0.0178243786                 nan                 nan                 nan                    nan                   nan                 nan                 nan                      nan                   nan                 nan                nan                 nan
             524.0             115.0          0.0548719373             0.0136926177             -6.7618110216          1.6920529899            124.5174329254            0.0042411719                3.7801800913             0.1613918326        0.2604217344      0.0070341017              0.5597699157             0.1000779912           5.5879952686              0.1142159546           0.5208434689        0.0140682034                 nan                 nan                 nan                    nan                   nan                 nan                 nan                      nan                   nan                 nan                nan                 nan
             524.0             130.0          0.0911414852             0.0152743784            -10.8393360796          1.8847740008            124.6184698321            0.0055417736                3.7208304863             0.1893363600        0.2809856803      0.0090800600              0.6497484145             0.1101577002           4.9173220087              0.1187509642           0.5619713607        0.0181601199                 nan                 nan                 nan                    nan                   nan                 nan                 nan                      nan                   nan                 nan                nan                 nan
             524.0             150.0          0.0619414868             0.0208203831             -7.2322359709          2.5697725963            124.6076187611            0.0075678499                3.6836837131             0.2537081004        0.2767762059      0.0124126373              0.6652795209             0.1485451951           4.9109734498              0.1626986996           0.5535524119        0.0248252747                 nan                 nan                 nan                    nan                   nan                 nan                 nan                      nan                   nan                 nan                nan                 nan
             527.0              25.0          0.0821618079             0.0000000000             -9.8269705293          0.0000000000            123.2613648381            0.0226511162                3.2331371451             0.0000000000        0.2619829835      0.0000000000              0.5419652668             0.0000000000           4.7841240442              0.0000000000           0.5239659669        0.0000000000      123.5431210897        0.0036479601       45.7789346428           0.3504397939          0.5647097107        0.0088925987        0.7420480686             0.0267899600         28.9703497082        0.2756885833       1.1294194213        0.0177851975
             527.0              35.0          0.0952990497             0.0000000000            -11.6136797633          0.0000000000            123.2489923694            0.0254542952                3.5653917612             0.0000000000        0.2862677057      0.0000000000              0.6425622838             0.0000000000           4.6385099175              0.0000000000           0.5725354113        0.0000000000      123.5238445605        0.0057746325       41.6078057222           0.4526351204          0.6726504538        0.0123442744        0.7041945427             0.0372947201         22.4599372410        0.2469221801       1.3453009077        0.0246885489
             527.0              60.0          0.0974366986             0.0000000000            -11.6396875011          0.0000000000            123.2950116934            0.0197208510                3.3845455266             0.0000000000        0.2643467583      0.0000000000              0.6026937004             0.0000000000           4.8456574644              0.0000000000           0.5286935165        0.0000000000      123.5214417574        0.0087988867       36.2387031162           0.7015435211          0.8591075486        0.0142539431        0.4084024980             0.0613979241         17.2052361746        0.1901890024       1.7182150973        0.0285078862
             527.0             100.0         -0.0070902700             0.0000000000              0.8033670504          0.0000000000            123.2869178226            0.0085050911                4.2094456757             0.0000000000        0.2567499299      0.0000000000              0.7839242072             0.0000000000           5.7551073766              0.0000000000           0.5134998597        0.0000000000      123.5417305598        0.0139303973       18.1622024161           0.5579855957          1.1032996405        0.0228524045        0.4290100384             0.0935104128          6.6630885991        0.0915538609       2.2065992811        0.0457048091
             527.0             115.0          0.0548719373             0.0000000000             -6.7618110216          0.0000000000            123.2710167544            0.0151099022                3.7801800913             0.0000000000        0.2604217344      0.0000000000              0.5597699157             0.0000000000           5.5879952686              0.0000000000           0.5208434689        0.0000000000      123.5493447330        0.0741474306       11.0910979892           2.5319562333          1.6838430957        0.1148685315        0.0000000036             0.7335242036          3.0939316517        2.2637888911       3.3676861915        0.2297370634
             527.0             130.0          0.0911414852             0.0000000000            -10.8393360796          0.0000000000            123.4342208533            0.0103315496                3.7208304863             0.0000000000        0.2809856803      0.0000000000              0.6497484145             0.0000000000           4.9173220087              0.0000000000           0.5619713607        0.0000000000      123.3751998304        0.0000000000        0.0010000000           0.0000000000          1.0000000000        0.0000000000        0.0000000000             0.0000000000          0.0004697186        0.0000000000       2.0000000000        0.0000000000
             527.0             150.0          0.0619414868             0.0000000000             -7.2322359709          0.0000000000            123.4134253961            0.0139143863                3.6836837131             0.0000000000        0.2767762059      0.0000000000              0.6652795209             0.0000000000           4.9109734498              0.0000000000           0.5535524119        0.0000000000      123.3751998304        0.0000000000        0.0010000000           0.0000000000          1.0000000000        0.0000000000        0.0000000000             0.0000000000          0.0004697186        0.0000000000       2.0000000000        0.0000000000
