# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -121.0833547020       0.0456447081       0.1453478899
   -115.3833547020      -0.0554048286       0.0984710144
   -109.6833547020       0.0618756554       0.1037023222
   -103.9833547020       0.0065585245       0.0998011603
    -98.2833547020      -0.0424230089       0.0963727671
    -92.5833547020      -0.0162510504       0.0968532834
    -86.8833547020       0.1197148805       0.1018030811
    -81.1833547021       0.0353754884       0.0977023595
    -75.4833547021       0.1438580898       0.1012670282
    -69.7833547021       0.0584861699       0.0972069394
    -64.0833547021       0.1158100211       0.0987712809
    -58.3833547021       0.1592113307       0.1000683995
    -52.6833547021       0.2733055564       0.1045156643
    -46.9833547021       0.2646413059       0.1036599418
    -41.2833547022       0.2115542432       0.1000511055
    -35.5833547022       0.2460458971       0.1005834054
    -29.8833547022       0.6766285232       0.1152251176
    -24.1833547022       0.8252552392       0.1190323106
    -18.4833547022       1.2887559788       0.1317047606
    -12.7833547022       2.2815682256       0.1555262862
     -7.0833547022       2.6502114494       0.1632603814
     -1.3833547022       3.0460062886       0.1716463140
      4.3166452977       2.9882045511       0.1704389363
     10.0166452977       2.5508075347       0.1611314590
     15.7166452977       2.0200665112       0.1489084311
     21.4166452977       1.6033699057       0.1386495349
     27.1166452977       1.2845867811       0.1301946310
     32.8166452977       1.0606858972       0.1239855597
     38.5166452977       1.0332448744       0.1232264781
     44.2166452976       1.0222736253       0.1229298345
     49.9166452976       1.0007744333       0.1222657839
     55.6166452976       0.9902797769       0.1220002023
     61.3166452976       1.2103392483       0.1281711256
     67.0166452976       1.5115327541       0.1365963784
     72.7166452976       1.3124510952       0.1319911894
     78.4166452976       1.6266517406       0.1397033847
     84.1166452976       1.4598630964       0.1348882958
     89.8166452975       1.7115700284       0.1413804665
     95.5166452975       1.4803149196       0.1354795542
    101.2166452975       1.4223662965       0.1339643661
    106.9166452975       1.4446986786       0.1345703864
    112.6166452975       1.4549687001       0.1348285514
    118.3166452975       1.3599124799       0.1323724863
    124.0166452975       1.5541134198       0.1374133063
    129.7166452974       1.5822977688       0.1381707153
    135.4166452974       1.4636089324       0.1351154536
    141.1166452974       1.1456436472       0.1264733859
    146.8166452974       1.2175796883       0.1284735975
    152.5166452974       1.2605969955       0.1295649982
    158.2166452974       1.0970402645       0.1250006889
    163.9166452974       0.9248516017       0.1200775726
    169.6166452974       0.7999854945       0.1163544511
    175.3166452973       0.8187442828       0.1168038822
    181.0166452973       0.5770201105       0.1085908555
    186.7166452973       0.6831190495       0.1124082558
    192.4166452973       0.6140401048       0.1104885802
    198.1166452973       0.4475293371       0.1049721464
    203.8166452973       0.6027351531       0.1101006913
    209.5166452973       0.6888668505       0.1128638279
    215.2166452972       0.5082515243       0.1070135555
    220.9166452972       0.6288262880       0.1109474124
    226.6166452972       0.5925281317       0.1097674618
    232.3166452972       0.5431044188       0.1082208173
    238.0166452972       0.4999293735       0.1070196211
    243.7166452972       0.5659881847       0.1099938085
    249.4166452972       0.5393912684       0.1097284694
    255.1166452972       0.5722414668       0.1116956491
    260.8166452971       0.6973782228       0.1161050542
    266.5166452971       0.8519662602       0.1212983566
    272.2166452971       0.7217293772       0.1181110908
    277.9166452971       0.9622783076       0.1264168456
    283.6166452971       1.0376909808       0.1297076387
    289.3166452971       1.0654967202       0.1313593133
    295.0166452971       1.0727147007       0.1327195720
    300.7166452970       0.9881097345       0.1308899908
    306.4166452970       0.9652698763       0.1310231151
    312.1166452970       1.1270480315       0.1360802550
    317.8166452970       1.3136344647       0.1435768653
    323.5166452970       1.2957161370       0.1444728222
    329.2166452970       1.1701955709       0.1420182442
    334.9166452970       1.1585301487       0.1646562901
