# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -174.4118028513      -0.1044312125       0.3214689280
   -168.7118028513       0.0473165971       0.2376945469
   -163.0118028513      -0.1069722729       0.2233530397
   -157.3118028513       0.0791515468       0.2359221602
   -151.6118028513       0.2457049866       0.2437349011
   -145.9118028513      -0.1950087914       0.2128208277
   -140.2118028512       0.1645564495       0.2347395721
   -134.5118028512      -0.1847570236       0.2103519661
   -128.8118028512      -0.0394485514       0.2177124146
   -123.1118028512       0.2463611649       0.2360266333
   -117.4118028512       0.0642531578       0.2241994842
   -111.7118028512      -0.2167260509       0.2025951944
   -106.0118028512       0.0968660382       0.2231954575
   -100.3118028512       0.1925719810       0.2263601936
    -94.6118028512       0.4347182465       0.2403417319
    -88.9118028512      -0.0814812470       0.2062228583
    -83.2118028512      -0.0667345377       0.2065575041
    -77.5118028512      -0.0933853851       0.2025492527
    -71.8118028512      -0.0156854070       0.2071133865
    -66.1118028512       0.3026147116       0.2239176841
    -60.4118028511       0.3527800035       0.2263730744
    -54.7118028511       0.2861642419       0.2201767958
    -49.0118028511       0.7978209951       0.2472314076
    -43.3118028511       0.7077455416       0.2399493599
    -37.6118028511       1.1090538099       0.2621374546
    -31.9118028511       2.1576086450       0.3015680851
    -26.2118028511       4.0214343510       0.3672713054
    -20.5118028511       5.3422171970       0.4035875075
    -14.8118028511       9.4763223863       0.5084936178
     -9.1118028511      11.9975335966       0.5631877759
     -3.4118028511      14.6411909278       0.6091048157
      2.2881971489      15.0398200507       0.6157980851
      7.9881971489      14.8504976402       0.6061978924
     13.6881971489      13.8710407848       0.5872255572
     19.3881971489      11.9767144615       0.5448984935
     25.0881971490       9.6867631833       0.4962032562
     30.7881971490       8.1246275549       0.4565847003
     36.4881971490       7.3324440174       0.4370522596
     42.1881971490       6.3156641797       0.4077753493
     47.8881971490       6.1995099341       0.4043030141
     53.5881971490       5.3671294238       0.3821597343
     59.2881971490       4.5557546565       0.3593963700
     64.9881971490       4.6015818891       0.3607054666
     70.6881971490       3.3195551448       0.3244188352
     76.3881971490       3.5709021761       0.3301044919
     82.0881971490       2.9560596132       0.3095329775
     87.7881971490       2.4026903404       0.2904521637
     93.4881971490       2.7625536279       0.3030186008
     99.1881971490       2.3136462771       0.2897650499
    104.8881971491       1.7406343002       0.2660216015
    110.5881971491       1.8399738279       0.2720507196
    116.2881971491       1.5637433943       0.2588786612
    121.9881971491       1.6490794008       0.2619556614
    127.6881971491       1.0941001709       0.2388845447
    133.3881971491       1.0611544933       0.2374583144
    139.0881971491       1.2068742277       0.2437502003
    144.7881971491       1.3578392178       0.2501352540
    150.4881971491       1.2493646037       0.2455828156
    156.1881971491       0.9107701122       0.2307753595
    161.8881971491       0.5109303104       0.2119560943
    167.5881971491       0.4572464149       0.2093223929
    173.2881971491       0.4299077312       0.2078958359
    178.9881971491       0.6775227764       0.2200259974
    184.6881971492       0.4005002677       0.2064624421
    190.3881971492       0.3842910144       0.2056236370
    196.0881971492       0.4275774361       0.2097830468
    201.7881971492       0.2585096528       0.2012773405
    207.4881971492       0.3265926392       0.2068344482
    213.1881971492       0.2165901234       0.2011605178
    218.8881971492       0.3219278939       0.2088595227
    224.5881971492       0.3845503486       0.2123601754
    230.2881971492       0.0649799127       0.1949517329
    235.9881971492       0.1701617148       0.2008561222
    241.6881971492       0.1413059399       0.1992619210
    247.3881971492      -0.0011440924       0.1948873832
    253.0881971492      -0.2391448425       0.1808422940
    258.7881971492      -0.1148046390       0.1906702105
    264.4881971492      -0.0947449269       0.1921110763
    270.1881971493      -0.0809695685       0.1949040224
    275.8881971493       0.5231814105       0.2299480990
    281.5881971493       0.0956017620       0.2081667335
    287.2881971493       0.2882393599       0.2197587166
    292.9881971493       0.2860238316       0.2220131587
    298.6881971493       0.4337316389       0.2307366979
    304.3881971493       0.2389818442       0.2221329838
    310.0881971493       0.6831184779       0.2472893548
    315.7881971493       0.6388592148       0.2478527509
    321.4881971493       0.4979236180       0.2404370334
    327.1881971493       0.2650019831       0.2297055025
    332.8881971493       0.8464642453       0.2627816945
    338.5881971493       0.2830371350       0.2338939571
    344.2881971493       1.0299673851       0.2760768282
    349.9881971494       0.8198999866       0.2651007626
    355.6881971494       0.6769184587       0.2605637520
    361.3881971494       0.7597969383       0.2656494768
    367.0881971494       0.6943863866       0.2654542176
    372.7881971494       0.5366179396       0.2568126179
    378.4881971494       0.5727753288       0.2623920483
    384.1881971494       0.4422369766       0.2551361669
    389.8881971494       0.4758699552       0.2606882416
    395.5881971494       0.7341306301       0.2727102945
