# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -117.6191307628      -0.2287154947       0.1850942603
   -111.9191307628       0.1128737473       0.1545143563
   -106.2191307628      -0.1022910897       0.1000363765
   -100.5191307628       0.1246144086       0.1099804325
    -94.8191307628       0.0935184285       0.1070194882
    -89.1191307628       0.0278576545       0.1031198688
    -83.4191307628       0.2126798820       0.1102139510
    -77.7191307628       0.1659400235       0.1075298086
    -72.0191307629      -0.0794361930       0.0958795090
    -66.3191307629      -0.0140085257       0.0982036988
    -60.6191307629       0.1589304880       0.1047663042
    -54.9191307629       0.0959325556       0.1015375178
    -49.2191307629       0.2493042279       0.1076406970
    -43.5191307629       0.2686265411       0.1084915847
    -37.8191307629       0.3906215592       0.1117176074
    -32.1191307630       0.5623197055       0.1165733849
    -26.4191307630       0.9615706095       0.1294955431
    -20.7191307630       1.3825153321       0.1413768647
    -15.0191307630       2.0685807431       0.1587026962
     -9.3191307630       2.8932405640       0.1768151834
     -3.6191307630       3.3011346643       0.1845508030
      2.0808692370       3.5958950407       0.1904047114
      7.7808692370       3.2612300359       0.1835916089
     13.4808692369       2.7259970166       0.1719483555
     19.1808692369       2.1751314327       0.1590844449
     24.8808692369       1.7504752083       0.1482945791
     30.5808692369       1.3406849284       0.1373542805
     36.2808692369       1.2639772487       0.1350531275
     41.9808692369       1.3262939918       0.1368936122
     47.6808692369       1.3339082106       0.1371644274
     53.3808692368       1.3018382222       0.1361376293
     59.0808692368       1.6397443925       0.1454749093
     64.7808692368       1.7168871606       0.1474786256
     70.4808692368       1.8062127407       0.1497427825
     76.1808692368       1.9163129313       0.1534939481
     81.8808692368       2.0673898600       0.1574631019
     87.5808692368       2.0864715211       0.1571360545
     93.2808692368       1.8555645796       0.1512284441
     98.9808692367       2.0855153743       0.1568274189
    104.6808692367       1.9265403534       0.1527737971
    110.3808692367       2.2085418198       0.1598282220
    116.0808692367       1.8434117795       0.1507586873
    121.7808692367       2.0393862925       0.1556199313
    127.4808692367       1.8319144117       0.1504435213
    133.1808692367       1.6721203369       0.1462708809
    138.8808692367       1.6402522983       0.1455645359
    144.5808692366       1.6113315832       0.1446878093
    150.2808692366       1.5272826764       0.1423655285
    155.9808692366       1.4393229662       0.1399362534
    161.6808692366       1.1704671811       0.1325002506
    167.3808692366       1.2621380194       0.1349400198
    173.0808692366       1.1342456941       0.1314016106
    178.7808692366       1.0069086255       0.1275562076
    184.4808692365       1.0388135778       0.1279711328
    190.1808692365       1.0934097731       0.1294025907
    195.8808692365       0.8304776768       0.1218916210
    201.5808692365       0.9927078991       0.1270742989
    207.2808692365       0.8996255162       0.1241463810
    212.9808692365       0.6981988202       0.1177041543
    218.6808692365       0.6207877149       0.1152684809
    224.3808692365       0.6700937465       0.1169321695
    230.0808692364       0.6505657077       0.1162125667
    235.7808692364       0.7127143405       0.1182675596
    241.4808692364       0.6603638036       0.1165298125
    247.1808692364       0.6447038448       0.1167069532
    252.8808692364       0.8328137776       0.1235673974
    258.5808692364       0.9470263130       0.1281507622
    264.2808692364       0.7851939681       0.1237146435
    269.9808692363       0.7591933972       0.1229678541
    275.6808692363       0.8614094802       0.1271137350
    281.3808692363       0.8541878618       0.1277878519
    287.0808692363       0.9168592875       0.1307222219
    292.7808692363       0.8765152852       0.1301799150
    298.4808692363       1.1152978250       0.1389741647
    304.1808692363       1.1261243298       0.1401791543
    309.8808692363       1.0398368529       0.1385849687
    315.5808692362       1.3985568180       0.1498483929
    321.2808692362       0.9959580049       0.1382926141
    326.9808692362       1.4912695050       0.1558199134
    332.6808692362       0.9607557261       0.1402331060
    338.3808692362       1.0693879752       0.1450193132
    344.0808692362       0.9696135924       0.2022664365
