# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -170.8886245307      -0.0959527234       0.1922346989
   -165.1886245307      -0.0329916491       0.1973454499
   -159.4886245307       0.3107285626       0.2205324745
   -153.7886245307      -0.0850540467       0.1899055403
   -148.0886245307      -0.1500842751       0.1816099693
   -142.3886245306      -0.1985507135       0.1773690562
   -136.6886245306      -0.2000704322       0.1745659632
   -130.9886245306       0.4297946601       0.2217708985
   -125.2886245306      -0.0405689848       0.1849322110
   -119.5886245306       0.2697507091       0.2077502262
   -113.8886245306      -0.2070011069       0.1713466755
   -108.1886245306      -0.0099679230       0.1846534809
   -102.4886245306       0.0386149034       0.1881283898
    -96.7886245306       0.0596323887       0.1871536171
    -91.0886245306       0.4307815829       0.2124318666
    -85.3886245306       0.1512666206       0.1911260012
    -79.6886245306      -0.0900475923       0.1734359580
    -73.9886245306       0.5020290068       0.2112264598
    -68.2886245306      -0.1268444546       0.1683299420
    -62.5886245306       0.3050932882       0.1963118708
    -56.8886245305       0.2242693812       0.1908782646
    -51.1886245305       0.3081706119       0.1939676811
    -45.4886245305       0.2483981654       0.1900468740
    -39.7886245305       0.2620984688       0.1888393381
    -34.0886245305       0.5048218023       0.2058149766
    -28.3886245305       0.9795699175       0.2269428414
    -22.6886245305       1.5402431450       0.2540753843
    -16.9886245305       2.3286017269       0.2847756637
    -11.2886245305       3.4998943994       0.3283932417
     -5.5886245305       3.7457131649       0.3365913685
      0.1113754695       4.7539244263       0.3652137855
      5.8113754695       4.7262498706       0.3640975590
     11.5113754695       4.8582583186       0.3641837132
     17.2113754695       4.2933200615       0.3467896839
     22.9113754696       3.7445608552       0.3256249154
     28.6113754696       3.4233982961       0.3147562300
     34.3113754696       3.1191029073       0.3011404539
     40.0113754696       2.5536016723       0.2807208076
     45.7113754696       2.9129251677       0.2908751941
     51.4113754696       2.2695909421       0.2672287713
     57.1113754696       2.1746262634       0.2636379880
     62.8113754696       1.5605190044       0.2386008965
     68.5113754696       1.4384072272       0.2335304325
     74.2113754696       1.9558436395       0.2575944461
     79.9113754696       1.2108559472       0.2231224494
     85.6113754696       1.4332710128       0.2331508184
     91.3113754696       1.4191805016       0.2324636151
     97.0113754696       1.1212459742       0.2191395598
    102.7113754697       1.5642025814       0.2411914683
    108.4113754697       1.0321216210       0.2149338929
    114.1113754697       1.1855277122       0.2242449350
    119.8113754697       0.8233133761       0.2046435202
    125.5113754697       0.9021239789       0.2085782882
    131.2113754697       1.0488564338       0.2156379956
    136.9113754697       0.7230497496       0.1995692318
    142.6113754697       0.5669139583       0.1914072758
    148.3113754697       0.3422744766       0.1790333630
    154.0113754697       0.5452221439       0.1902771900
    159.7113754697       0.6803349183       0.1973794069
    165.4113754697       0.4353422739       0.1842636631
    171.1113754697       0.5020746874       0.1879322064
    176.8113754697       0.4000652299       0.1823110087
    182.5113754697       0.3774594041       0.1810007015
    188.2113754698       0.1502987201       0.1676772313
    193.9113754698       0.3828222103       0.1814093756
    199.6113754698       0.1023145880       0.1665060866
    205.3113754698       0.5238497158       0.1912211970
    211.0113754698       0.2454837952       0.1771207034
    216.7113754698       0.0204041466       0.1631411897
    222.4113754698       0.2762639256       0.1809674006
    228.1113754698       0.2901437817       0.1817861235
    233.8113754698       0.1002232593       0.1700298837
    239.5113754698       0.1100771855       0.1706994770
    245.2113754698       0.3825912513       0.1874480966
    250.9113754698       0.4333362245       0.1945459117
    256.6113754698      -0.1173330451       0.1591147214
    262.3113754698       0.0416939859       0.1720515022
    268.0113754699       0.0773488207       0.1745754870
    273.7113754699       0.1272464663       0.1799674561
    279.4113754699       0.2125840938       0.1855404870
    285.1113754699      -0.2425902350       0.1553149862
    290.8113754699       0.4454593305       0.2025346346
    296.5113754699      -0.0365666855       0.1729994442
    302.2113754699       0.3857587291       0.2014585667
    307.9113754699       0.3695224101       0.2029120595
    313.6113754699       0.2870967040       0.1977326348
    319.3113754699       0.3066022619       0.2015697332
    325.0113754699       0.8098809270       0.2323953520
    330.7113754699       0.5897032557       0.2224084344
    336.4113754699       0.4810435031       0.2158450693
    342.1113754699       0.5141934391       0.2208298796
    347.8113754700       0.4458395540       0.2164538172
    353.5113754700       0.2146800088       0.2012089447
    359.2113754700       0.3091580209       0.2104793298
    364.9113754700       0.3976909703       0.2166151029
    370.6113754700       0.8823693537       0.2503627556
    376.3113754700       0.4739416692       0.2249742646
    382.0113754700       0.7845152868       0.2483121406
    387.7113754700       0.6579463595       0.2404949465
    393.4113754700       0.4423646722       0.2295685792
    399.1113754700       0.6139593194       0.3359080144
