# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -223.1685956894       0.1573937988       0.1303015403
   -217.4685956894      -0.2421665446       0.0706113226
   -211.7685956894      -0.0199273561       0.0819522500
   -206.0685956895       0.0764250315       0.0868238021
   -200.3685956895      -0.0085157034       0.0812429984
   -194.6685956895      -0.0586823256       0.0786672266
   -188.9685956895       0.0535185340       0.0830551405
   -183.2685956895       0.0080241817       0.0808429847
   -177.5685956895      -0.0789954779       0.0752725718
   -171.8685956895      -0.0329508945       0.0787739777
   -166.1685956895       0.0563472433       0.0807728027
   -160.4685956896       0.0367341901       0.0798552317
   -154.7685956896      -0.0695919300       0.0746388664
   -149.0685956896       0.1493696803       0.0838130209
   -143.3685956896      -0.0969203812       0.0722233864
   -137.6685956896       0.0458403385       0.0780854518
   -131.9685956896      -0.1728399572       0.0673331568
   -126.2685956896       0.0013418387       0.0750136791
   -120.5685956897       0.0512729115       0.0772717498
   -114.8685956897       0.1443228219       0.0803116904
   -109.1685956897       0.1317496366       0.0797611710
   -103.4685956897       0.0617527760       0.0757810419
    -97.7685956897       0.1241672614       0.0794402219
    -92.0685956897       0.1750872073       0.0795768973
    -86.3685956897       0.0610440670       0.0748156643
    -80.6685956897       0.1309537278       0.0768351313
    -74.9685956898       0.3713510757       0.0861012214
    -69.2685956898       0.2648841878       0.0811614911
    -63.5685956898       0.3496174917       0.0843072584
    -57.8685956898       0.3545243519       0.0835148017
    -52.1685956898       0.4736062926       0.0876963466
    -46.4685956898       0.7126085788       0.0944411364
    -40.7685956898       0.9557645235       0.1017093633
    -35.0685956899       1.6054402292       0.1189579973
    -29.3685956899       2.9604081119       0.1454603856
    -23.6685956899       5.2785796826       0.1848154703
    -17.9685956899       9.1420745127       0.2363371572
    -12.2685956899      12.8007934506       0.2763341616
     -6.5685956899      16.6833651030       0.3100558079
     -0.8685956899      17.4954066554       0.3171232547
      4.8314043101      17.2564331644       0.3118669737
     10.5314043100      14.5348893904       0.2903224920
     16.2314043100      11.0951128441       0.2531447395
     21.9314043100       8.4020602162       0.2249426373
     27.6314043100       5.8781607248       0.1897440115
     33.3314043100       4.7096563020       0.1741133638
     39.0314043100       4.0875903313       0.1623526180
     44.7314043100       3.7625399337       0.1568662366
     50.4314043099       3.6177497748       0.1543468809
     56.1314043099       3.4612557791       0.1531724828
     61.8314043099       3.1819525578       0.1465645238
     67.5314043099       3.2100632631       0.1486047949
     73.2314043099       3.2069608721       0.1470195398
     78.9314043099       3.1708118397       0.1478771584
     84.6314043099       2.9616876679       0.1439273087
     90.3314043099       2.8905884195       0.1425817373
     96.0314043098       2.6773163740       0.1369932116
    101.7314043098       2.5994567708       0.1368575569
    107.4314043098       2.3951861237       0.1313386402
    113.1314043098       2.4433522065       0.1323160556
    118.8314043098       2.2063413754       0.1273956588
    124.5314043098       2.1682899111       0.1265971460
    130.2314043098       1.7866725803       0.1181967654
    135.9314043097       1.7652962566       0.1177193587
    141.6314043097       1.7301600993       0.1180966066
    147.3314043097       1.6583396704       0.1164385326
    153.0314043097       1.3205415127       0.1092989557
    158.7314043097       1.3845975749       0.1109441854
    164.4314043097       1.2036852813       0.1074075883
    170.1314043097       0.9752948127       0.1011391366
    175.8314043097       0.9389767517       0.1011960378
    181.5314043096       0.8793182058       0.0994677271
    187.2314043096       0.8689357440       0.1002704582
    192.9314043096       0.9254215862       0.1008201910
    198.6314043096       0.8586268934       0.1011123134
    204.3314043096       0.8524624010       0.1009338597
    210.0314043096       0.6557075329       0.0958932072
    215.7314043096       0.5285460853       0.0916376773
    221.4314043095       0.5113710513       0.0921437722
    227.1314043095       0.5521092536       0.0935573204
    232.8314043095       0.5178859218       0.0935202958
    238.5314043095       0.4576015571       0.0913658597
    244.2314043095       0.5829538927       0.0970112319
    249.9314043095       0.6043221403       0.0977482849
    255.6314043095       0.6209723967       0.0996107803
    261.3314043095       0.5654978447       0.0976605887
    267.0314043094       0.6645479127       0.1024770178
    272.7314043094       0.6028979269       0.1003180242
    278.4314043094       0.7796408475       0.1064029563
    284.1314043094       0.9478561059       0.1134244100
    289.8314043094       0.9991372786       0.1150909441
    295.5314043094       1.2155369158       0.1234894267
    301.2314043094       1.1228466803       0.1206361092
    306.9314043093       1.2597177921       0.1266499138
    312.6314043093       1.0290232177       0.1193891016
    318.3314043093       1.3002459138       0.1297953171
    324.0314043093       1.2286437958       0.1257099365
    329.7314043093       1.3259525475       0.1325907257
    335.4314043093       1.1772753435       0.1279182098
    341.1314043093       1.1633957495       0.1294950509
    346.8314043093       0.9968117310       0.1239149556
