# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -233.0578173040      -0.0742906305       0.1197307385
   -227.3578173040       0.1450225266       0.0998674257
   -221.6578173040      -0.0031450838       0.0884781564
   -215.9578173040       0.0674399401       0.0932344335
   -210.2578173040      -0.0299121864       0.0852132992
   -204.5578173041       0.0152672982       0.0882975281
   -198.8578173041      -0.0741989222       0.0807931531
   -193.1578173041      -0.0426938473       0.0829850754
   -187.4578173041       0.0679292816       0.0890759910
   -181.7578173041      -0.1152156102       0.0777008968
   -176.0578173041       0.0671970346       0.0877543641
   -170.3578173041       0.0750949684       0.0882175388
   -164.6578173041       0.0198942315       0.0847269075
   -158.9578173042      -0.0759410633       0.0772280459
   -153.2578173042      -0.0338056071       0.0800471966
   -147.5578173042       0.0552796133       0.0846192602
   -141.8578173042      -0.0007889873       0.0810940127
   -136.1578173042      -0.0397221560       0.0775511211
   -130.4578173042       0.1073458675       0.0865648664
   -124.7578173042       0.0119306377       0.0797978507
   -119.0578173043      -0.0334210192       0.0769272529
   -113.3578173043      -0.1092662862       0.0710395567
   -107.6578173043      -0.0039717071       0.0787552738
   -101.9578173043       0.1506745779       0.0857474560
    -96.2578173043      -0.0236421196       0.0756350264
    -90.5578173043       0.2085982881       0.0877704901
    -84.8578173043       0.0676741064       0.0801030580
    -79.1578173043       0.1517535454       0.0837804011
    -73.4578173044       0.0283579564       0.0769200792
    -67.7578173044       0.1698826838       0.0837681150
    -62.0578173044       0.0614115268       0.0779130384
    -56.3578173044       0.1033930224       0.0793453429
    -50.6578173044       0.2164334960       0.0851704381
    -44.9578173044       0.1737910492       0.0830080057
    -39.2578173044       0.5108052584       0.0966991124
    -33.5578173045       0.7673113740       0.1069323843
    -27.8578173045       1.3745863776       0.1279960398
    -22.1578173045       1.9858506794       0.1461668813
    -16.4578173045       3.4958221058       0.1815854595
    -10.7578173045       4.4925377081       0.2022887387
     -5.0578173045       5.8071509041       0.2244270497
      0.6421826955       6.4094433781       0.2370501193
      6.3421826955       6.3351996084       0.2334658243
     12.0421826954       5.4687726507       0.2206482585
     17.7421826954       5.1531095431       0.2127539379
     23.4421826954       4.4504976457       0.2014037479
     29.1421826954       4.1904309695       0.1942635141
     34.8421826954       3.8662547132       0.1875892368
     40.5421826954       3.7384090095       0.1848865695
     46.2421826954       3.7875712258       0.1878149046
     51.9421826953       3.2085775812       0.1733809622
     57.6421826953       3.1932876941       0.1747516542
     63.3421826953       3.1049913618       0.1710363371
     69.0421826953       3.5218357290       0.1820867490
     74.7421826953       2.9997881489       0.1703182063
     80.4421826953       3.3054960028       0.1773393174
     86.1421826953       2.6501754210       0.1603081331
     91.8421826953       2.7929245327       0.1653614582
     97.5421826952       2.4770942718       0.1560219238
    103.2421826952       2.2396755090       0.1499091939
    108.9421826952       2.0549751827       0.1450200157
    114.6421826952       2.1614164272       0.1478616897
    120.3421826952       1.7361862111       0.1361546676
    126.0421826952       1.9850607915       0.1431251512
    131.7421826952       1.7661715276       0.1383985294
    137.4421826951       1.6275893994       0.1343795139
    143.1421826951       1.4686312128       0.1309139548
    148.8421826951       1.5422431434       0.1332153109
    154.5421826951       1.2286996127       0.1245573715
    160.2421826951       1.3420863969       0.1283148587
    165.9421826951       1.0406535907       0.1194069725
    171.6421826951       0.9514083171       0.1162215708
    177.3421826951       1.0993309689       0.1228736973
    183.0421826950       1.0509203059       0.1198475530
    188.7421826950       0.8588222063       0.1153062651
    194.4421826950       0.9490957137       0.1187987721
    200.1421826950       0.7814958542       0.1136546421
    205.8421826950       0.6006210741       0.1061782578
    211.5421826950       0.9094002736       0.1201095696
    217.2421826950       0.6254822509       0.1085424012
    222.9421826949       0.8430207937       0.1189528574
    228.6421826949       0.6315256480       0.1101548202
    234.3421826949       0.7384086548       0.1161294721
    240.0421826949       0.6315713361       0.1115515817
    245.7421826949       0.5503703921       0.1092929696
    251.4421826949       0.5944540312       0.1113445841
    257.1421826949       0.4685689279       0.1068680099
    262.8421826949       0.8907411655       0.1256882000
    268.5421826948       0.8074867819       0.1222158854
    274.2421826948       0.8526559851       0.1257837416
    279.9421826948       0.7825546623       0.1228183120
    285.6421826948       0.9515464924       0.1317420233
    291.3421826948       1.0007024386       0.1337958129
    297.0421826948       1.1169753044       0.1404500348
    302.7421826948       1.0160365705       0.1363798780
    308.4421826947       1.1676107064       0.1446164546
    314.1421826947       1.2236981434       0.1447486016
    319.8421826947       1.2370861777       0.1495996359
    325.5421826947       1.5414631494       0.1613731500
    331.2421826947       1.2963708262       0.1544238302
    336.9421826947       1.0520486370       0.1443607545
