# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -177.9282152264      -0.1213798437       0.2080655193
   -172.2282152264      -0.0011354715       0.2168281101
   -166.5282152264      -0.2310389571       0.1960001352
   -160.8282152264       0.1427365299       0.2238408709
   -155.1282152264      -0.1352998290       0.2003928547
   -149.4282152264       0.2284504531       0.2261759704
   -143.7282152264      -0.0454362788       0.2040276514
   -138.0282152264       0.1115103994       0.2146995858
   -132.3282152264       0.1693597311       0.2159169353
   -126.6282152263      -0.0343220726       0.2017942234
   -120.9282152263       0.0486056588       0.2072363510
   -115.2282152263      -0.1320503196       0.1918404768
   -109.5282152263      -0.2431904455       0.1830930024
   -103.8282152263      -0.1991953745       0.1842207781
    -98.1282152263      -0.0103338200       0.1972561381
    -92.4282152263       0.4669710068       0.2253370877
    -86.7282152263       0.2129429487       0.2093060181
    -81.0282152263       0.2493934338       0.2092819626
    -75.3282152263      -0.0669134946       0.1882449467
    -69.6282152263       0.1565435952       0.2008056757
    -63.9282152263       0.0280516113       0.1921384276
    -58.2282152263       0.2066736846       0.2014007109
    -52.5282152263       0.2718036212       0.2049607036
    -46.8282152263       0.1552695839       0.1962251038
    -41.1282152262       0.2228467448       0.2015389996
    -35.4282152262       0.8621581607       0.2324269861
    -29.7282152262       0.8849126028       0.2329892070
    -24.0282152262       1.8043876478       0.2727610836
    -18.3282152262       2.5150508528       0.3011937974
    -12.6282152262       3.7403828745       0.3441095896
     -6.9282152262       3.9968908317       0.3491124938
     -1.2282152262       4.0287898462       0.3494585219
      4.4717847738       4.4557210573       0.3594993236
     10.1717847738       4.0899972010       0.3475393888
     15.8717847738       3.7029761538       0.3320686901
     21.5717847738       3.3661967635       0.3204498227
     27.2717847738       2.8110114581       0.2986608325
     32.9717847738       3.0535988909       0.3065256280
     38.6717847739       2.9885819393       0.3016379188
     44.3717847739       2.9077175802       0.2988294637
     50.0717847739       3.6984121968       0.3249208704
     55.7717847739       3.5312539450       0.3195454248
     61.4717847739       3.9164128251       0.3323001115
     67.1717847739       4.1856840893       0.3429771958
     72.8717847739       5.9182342533       0.3888123361
     78.5717847739       5.5895717609       0.3800384922
     84.2717847739       5.9322159809       0.3891914861
     89.9717847739       6.6800234283       0.4091741313
     95.6717847739       6.8995435794       0.4177048921
    101.3717847739       7.0517851121       0.4183655530
    107.0717847739       7.2461399237       0.4262176874
    112.7717847739       6.7436081460       0.4101020857
    118.4717847740       6.6827788407       0.4084449517
    124.1717847740       5.8768461000       0.3877340427
    129.8717847740       5.7957185480       0.3855215124
    135.5717847740       5.9228284030       0.3889703541
    141.2717847740       4.9242269713       0.3615681886
    146.9717847740       4.5519139786       0.3508710349
    152.6717847740       3.9966891882       0.3341557073
    158.3717847740       3.2387839291       0.3100480961
    164.0717847740       2.9408809170       0.2999653470
    169.7717847740       3.0636888851       0.3041399293
    175.4717847740       2.7269659069       0.2925598855
    181.1717847740       2.1279827827       0.2707032267
    186.8717847740       2.1114596508       0.2704398892
    192.5717847740       1.7838298039       0.2600217220
    198.2717847740       1.9324796063       0.2662818038
    203.9717847741       1.1175505679       0.2340817330
    209.6717847741       0.8465767112       0.2217082080
    215.3717847741       1.0094931468       0.2315835113
    221.0717847741       0.8905755872       0.2259373620
    226.7717847741       0.6589104270       0.2143575328
    232.4717847741       0.5689565678       0.2097450409
    238.1717847741       0.7116459648       0.2177043876
    243.8717847741       0.5898210575       0.2156786941
    249.5717847741       0.7550338965       0.2246460755
    255.2717847741       0.7992876083       0.2292264875
    260.9717847741       0.3551097676       0.2055512294
    266.6717847741       0.5187446555       0.2169475910
    272.3717847741       0.7130607196       0.2277890636
    278.0717847741       0.2112340671       0.2016549889
    283.7717847742       0.3909415297       0.2127163763
    289.4717847742       0.2965398360       0.2094309277
    295.1717847742       0.4404438870       0.2184107221
    300.8717847742       1.1587037248       0.2596006935
    306.5717847742       0.6948518189       0.2358260364
    312.2717847742       1.4287695491       0.2764204069
    317.9717847742       1.5170731721       0.2813316208
    323.6717847742       1.7497610001       0.2955395665
    329.3717847742       1.5068476607       0.2848043195
    335.0717847742       1.5959294129       0.2923920636
    340.7717847742       1.7589439928       0.3001692735
    346.4717847742       1.7283303080       0.2991549915
    352.1717847742       0.9831423084       0.2650156603
    357.8717847742       0.7920656717       0.2549720647
    363.5717847742       1.6769365768       0.3051287351
    369.2717847743       1.7792751483       0.3106174437
    374.9717847743       1.4137073527       0.2964963836
    380.6717847743       1.5408508240       0.3035861462
    386.3717847743       1.1425582630       0.2858575942
    392.0717847743       1.7022510992       0.4396252979
