# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -175.3084108205      -0.1124388674       0.2893749141
   -169.6084108205      -0.0134639941       0.2125010068
   -163.9084108205       0.0714090918       0.2154876670
   -158.2084108205       0.2325141803       0.2271199551
   -152.5084108205      -0.1610767897       0.1942416466
   -146.8084108204       0.1188856210       0.2155111031
   -141.1084108204      -0.0449570784       0.2002372402
   -135.4084108204       0.3149573440       0.2257102416
   -129.7084108204      -0.1720250115       0.1875606385
   -124.0084108204       0.0018132824       0.2007113196
   -118.3084108204      -0.0857676346       0.1941924860
   -112.6084108204      -0.1498501437       0.1866057463
   -106.9084108204      -0.3490625180       0.1707241075
   -101.2084108204       0.1176533326       0.2031401886
    -95.5084108204      -0.4029974763       0.1638555388
    -89.8084108204       0.3724340627       0.2168093489
    -84.1084108204       0.1336631902       0.2014425971
    -78.4084108204       0.1218491497       0.1980084978
    -72.7084108204      -0.3506827925       0.1637432088
    -67.0084108203       0.0292696386       0.1892714988
    -61.3084108203       0.3868693255       0.2120219378
    -55.6084108203       0.0461854065       0.1880362678
    -49.9084108203       0.1186760672       0.1927428873
    -44.2084108203       0.5925071441       0.2185150094
    -38.5084108203       0.6668610070       0.2253904432
    -32.8084108203       1.0425611020       0.2393517977
    -27.1084108203       1.8253888376       0.2753836251
    -21.4084108203       2.7440748564       0.3087600264
    -15.7084108203       3.9906633731       0.3524581670
    -10.0084108203       6.0525361151       0.4146736293
     -4.3084108203       6.8395637796       0.4311344648
      1.3915891797       8.5803035435       0.4746277179
      7.0915891797       8.5602123372       0.4688685949
     12.7915891798       8.0748718736       0.4572312631
     18.4915891798       7.6749468983       0.4425780381
     24.1915891798       7.6531696471       0.4420741515
     29.8915891798       6.1744041170       0.3999278499
     35.5915891798       5.4090422790       0.3790752389
     41.2915891798       5.1426792482       0.3676504635
     46.9915891798       4.2477547873       0.3414891343
     52.6915891798       3.6695797873       0.3234646158
     58.3915891798       3.4178142570       0.3152368248
     64.0915891798       2.3847242430       0.2791898535
     69.7915891798       3.3881201387       0.3176055600
     75.4915891798       2.5710111866       0.2860327192
     81.1915891798       2.5837716797       0.2864822144
     86.8915891798       2.4438221401       0.2813864125
     92.5915891798       2.4022460416       0.2798620849
     98.2915891799       2.2691481271       0.2777940978
    103.9915891799       1.9480526298       0.2624979398
    109.6915891799       1.9712252324       0.2662364271
    115.3915891799       2.1958884685       0.2721429096
    121.0915891799       1.4709209596       0.2429015555
    126.7915891799       1.9829235619       0.2638731359
    132.4915891799       1.4501934411       0.2420397916
    138.1915891799       1.3030086820       0.2356482946
    143.8915891799       1.2197053535       0.2319380947
    149.5915891799       1.5483904437       0.2461995878
    155.2915891799       0.9114348712       0.2177262373
    160.9915891799       1.1150794529       0.2272279523
    166.6915891799       1.2593729624       0.2336872287
    172.3915891799       0.9905704425       0.2214497651
    178.0915891800       0.8673555118       0.2156071641
    183.7915891800       0.6392382349       0.2043495115
    189.4915891800       0.8655971303       0.2155060086
    195.1915891800       0.1742405570       0.1810572982
    200.8915891800       0.5305961740       0.2008469775
    206.5915891800       0.7251150533       0.2131496931
    212.2915891800       0.0579973390       0.1760505841
    217.9915891800       0.4405874825       0.2003568777
    223.6915891800       0.8147519674       0.2200709387
    229.3915891800       0.2659029115       0.1904882212
    235.0915891800       0.3955170522       0.1978741227
    240.7915891800       0.3747143088       0.1966972088
    246.4915891800       0.5249315350       0.2096712175
    252.1915891800       0.4794801436       0.2071671636
    257.8915891801       0.4045392545       0.2053351754
    263.5915891801       0.3790602766       0.2038404104
    269.2915891801       0.2540922812       0.1988176306
    274.9915891801       0.4710142423       0.2116615957
    280.6915891801       0.5178123270       0.2169824777
    286.3915891801       0.6659568287       0.2252903618
    292.0915891801       0.3122115319       0.2074262784
    297.7915891801       0.7692902386       0.2338867193
    303.4915891801       0.7213379579       0.2342432933
    309.1915891801       1.1906278442       0.2591540186
    314.8915891801       1.4501554054       0.2756076360
    320.5915891801       1.4788501651       0.2770377461
    326.2915891801       2.1358219530       0.3115037946
    331.9915891801       1.7252728699       0.2927364129
    337.6915891801       2.2348545373       0.3203883374
    343.3915891802       1.7578371164       0.2984969316
    349.0915891802       1.8124964324       0.3010396694
    354.7915891802       2.1377062094       0.3206371409
    360.4915891802       1.4110671500       0.2855672161
    366.1915891802       2.0937607756       0.3234379602
    371.8915891802       2.2176422323       0.3291699412
    377.5915891802       2.0162254552       0.3247258673
    383.2915891802       2.1098612740       0.3291946249
    388.9915891802       1.8708269145       0.3228089928
    394.6915891802       1.9546911654       0.3217672407
