# Energ loss (eV) 	Intensity (arb. units)	Error bar
     -0.2277228451       0.5107628625       0.3470960596
     -0.2077728451      -0.0691510552       0.2545099026
     -0.1849728451      -0.1285304589       0.2436875751
     -0.1621728451      -0.1817855625       0.2339478964
     -0.1422228451      -0.2233775507       0.2601653715
     -0.1194228451       0.0920817649       0.2152355959
     -0.0937728451       0.2683116253       0.2435473657
     -0.0709728451       0.3290179052       0.2412427160
     -0.0481728451       0.6879957693       0.2544114675
     -0.0253728451       4.5422923568       0.3953253734
     -0.0025728451      13.3881239823       0.5988869600
      0.0173771549       8.8305401273       0.5694688316
      0.0401771549       3.9032863131       0.3167848214
      0.0658271549       4.1698594326       0.3564512583
      0.0886271549       4.6388059865       0.3626551399
      0.1114271549       3.8124914893       0.3330436646
      0.1342271549       3.8903695121       0.3325062592
      0.1570271549       2.9302059551       0.3035162820
      0.1769771549       2.2039460619       0.3219794666
      0.1997771549       1.9986679996       0.2441129101
      0.2254271549       1.5677264701       0.2568586337
      0.2482271549       2.0670161481       0.2748898709
      0.2710271549       1.9874188467       0.2726764037
      0.2938271549       3.0480159115       0.3079034465
      0.3166271549       3.0830934988       0.3076961773
      0.3365771549       3.7886727984       0.3805633305
      0.3593771549       3.3675094703       0.2831476116
      0.3850271549       2.9132689872       0.3036621819
      0.4078271549       3.6224256400       0.3247034423
      0.4306271549       3.1595662109       0.3100628266
      0.4534271549       3.9349942333       0.3345255899
      0.4762271549       4.5633573818       0.3514267270
      0.4961771549       5.3492975177       0.4298319187
      0.5189771549       5.9280188633       0.3466112246
      0.5446271549       6.6154461439       0.4035548082
      0.5674271549       7.4008204429       0.4217826911
      0.5902271549       8.0378945166       0.4369659085
      0.6101771549       9.0321071685       0.5281510577
      0.6329771549       9.1953716848       0.4114812639
      0.6586271549       8.0151778246       0.4355404466
      0.6814271549       9.5110736763       0.4673157232
      0.7042271549       8.4949999247       0.4459872762
      0.7270271549       9.3295518024       0.4645862419
      0.7498271549       9.2944888279       0.4619405027
      0.7697771549       9.4656681172       0.5415822100
      0.7925771549       8.7093452268       0.4029955364
      0.8182271549       9.1784806386       0.4595066232
      0.8410271549       8.4195517446       0.4443894496
      0.8638271549       7.9197475904       0.4334445196
      0.8866271549       8.0300629599       0.4349314130
      0.9094271549       7.1892119286       0.4160486270
      0.9293771549       7.7004265828       0.4948133320
      0.9521771549       7.0961228164       0.3716083313
      0.9778271549       6.6527895456       0.4035093309
      1.0006271549       7.1486702393       0.4159452471
      1.0234271549       7.3976926007       0.4216403694
      1.0462271549       6.9768506295       0.4110926117
      1.0690271549       7.4553311869       0.4220839413
      1.0889771549       6.7748210912       0.4715486171
      1.1117771549       6.9279988488       0.3668521983
      1.1374271549       7.5151210122       0.4243559311
      1.1602271549       6.2290066862       0.3941954432
      1.1830271549       6.9023398937       0.4094021160
      1.2058271549       7.7844570771       0.4304178086
      1.2286271549       7.2859311817       0.4191667047
      1.2485771549       7.0885679310       0.4787918743
      1.2713771549       7.0988759570       0.3710853957
      1.2970271549       6.9769578365       0.4128849833
      1.3198271549       7.1710850126       0.4165362752
      1.3426271549       6.5037134509       0.4000545416
      1.3654271549       6.8239487952       0.4093259232
      1.3882271549       6.6146579512       0.4035173177
      1.4081771549       5.8849316209       0.4454406931
      1.4309771549       6.1462776656       0.3508107621
      1.4566271549       5.7322941641       0.3819697474
      1.4794271549       5.6165505449       0.3790358554
      1.5022271549       6.3418895060       0.3978095860
      1.5250271549       5.7891993168       0.3833798823
      1.5478271549       6.0770883587       0.3905194927
      1.5677771549       5.8083360052       0.4432401063
      1.5905771549       5.0952058918       0.3275596520
      1.6162271549       5.5280736924       0.3760046193
      1.6390271549       5.4162088906       0.3747008284
      1.6618271549       3.7741669346       0.3291049719
      1.6846271549       4.4458789800       0.3481399536
      1.7083771549       4.3981552205       0.3102609036
      1.7273771549       3.9338147094       0.3551147327
      1.7501771549       4.4818927727       0.2698154143
      1.7767771549       4.3639290196       0.3034048829
      1.7995771549       3.8948422968       0.2903684988
      1.8223771549       4.4904798280       0.3021388749
      1.8451771549       3.7203125381       0.2819338279
      1.8679771549       3.9333351928       0.2855047937
      1.8869771549       3.8189485437       0.3405170674
      1.9097771549       3.2470047902       0.2301712917
      1.9363771549       3.5092434912       0.2695773543
      1.9591771549       3.4709147067       0.2690113353
      1.9819771549       2.9319468655       0.2569785074
      2.0009771549       3.0514828552       0.3202836434
      2.0237771549       2.5719417566       0.2159166338
      2.0503771549       2.9399495790       0.2623392244
      2.0731771549       2.9005736530       0.2641516098
      2.0959771549       2.4844872750       0.2556342910
      2.1187771549       2.6161186536       0.2629110469
      2.1415771549       2.5167475031       0.2639794103
      2.1605771549       2.6878347390       0.3386925752
      2.1833771549       2.7153783532       0.2373601635
      2.2099771549       2.6184177826       0.2782859193
      2.2327771549       2.6855525212       0.2846475223
      2.2555771549       2.2415112864       0.2752473269
      2.2760021549       2.4369346526       0.3302353739
      2.3030771549       2.8591870230       0.4263089397
      2.3201771549       2.7438420253       0.5954905364
      2.3429771549       2.9999238175       0.3532149182
      2.3714771549       2.6668881352       0.4175446585
      2.3942771549       2.4753286561       0.4086619853
      2.4170771549       3.1287229290       0.4383124434
      2.4398771549       3.2437859216       0.4433181017
      2.4626771549       3.3597703162       0.4483468776
      2.4797771549       3.2060359450       0.6246700874
      2.5025771549       2.7449545154       0.3438895416
      2.5310771549       2.9379353972       0.4299281847
      2.5538771549       2.8618113169       0.4265455643
      2.5766771549       3.4008251605       0.4502151303
      2.5994771549       3.5546821312       0.4567402494
      2.6222771549       4.3236768059       0.4880361586
      2.6393771549       2.2852763016       0.5652992491
      2.6621771549       4.3112145069       0.3980902343
