# Energ loss (eV) 	Intensity (arb. units)	Error bar
     -0.2271196565       0.8804532206       0.3812575295
     -0.2214196565       0.1088274523       0.3317825166
     -0.2157196565      -0.0711843058       0.2164132635
     -0.2100196565       0.0483819750       0.1937940936
     -0.2043196565      -0.0801507562       0.1854846241
     -0.1986196565       0.1715290660       0.1949468376
     -0.1929196565      -0.1640223014       0.1783608517
     -0.1872196565      -0.1356363404       0.1784201237
     -0.1815196565      -0.2212893061       0.1736151314
     -0.1758196565      -0.2878403116       0.1709527423
     -0.1701196565       0.0562633853       0.1818862062
     -0.1644196565      -0.2882958852       0.1698513095
     -0.1587196565      -0.0897087397       0.1766380309
     -0.1530196565      -0.0633844595       0.1762300286
     -0.1473196565       0.0508042777       0.1800697909
     -0.1416196565       0.0433313119       0.1786959000
     -0.1359196565      -0.1558194857       0.1680551229
     -0.1302196565       0.0401239125       0.1756550445
     -0.1245196565       0.2276428280       0.1804592840
     -0.1188196565      -0.0700255376       0.1680072921
     -0.1131196565       0.0900940001       0.1731718128
     -0.1074196565       0.1924906332       0.1753146847
     -0.1017196565       0.0333448532       0.1688957770
     -0.0960196565       0.0477054233       0.1672225533
     -0.0903196565       0.0546800878       0.1676268021
     -0.0846196565       0.3228840915       0.1742695823
     -0.0789196565       0.2123008612       0.1702452574
     -0.0732196565       0.3683871946       0.1750338381
     -0.0675196565       0.3541044662       0.1732207038
     -0.0618196565       0.4594044790       0.1761093265
     -0.0561196565       0.3364090761       0.1693058963
     -0.0504196565       0.4476955145       0.1723473792
     -0.0447196565       0.6790266901       0.1791503167
     -0.0390196565       1.2536621374       0.1950759290
     -0.0333196565       1.8452181592       0.2091708221
     -0.0276196565       2.9738101144       0.2329826076
     -0.0219196565       5.6898056269       0.2863793416
     -0.0162196565       8.5339299953       0.3316576916
     -0.0105196565      11.5886861796       0.3746990108
     -0.0048196565      14.2460405946       0.4088040779
      0.0008803435      14.9000928578       0.4135244963
      0.0065803435      13.6551839161       0.3990874816
      0.0122803435      11.0922214909       0.3628674241
      0.0179803435       9.3810286518       0.3408797421
      0.0236803435       6.6696757374       0.2969290851
      0.0293803435       4.7569831072       0.2656806419
      0.0350803435       4.1897757705       0.2534006347
      0.0407803435       3.9347656789       0.2482262716
      0.0464803435       3.5636893072       0.2402013856
      0.0521803435       3.8883450646       0.2477529894
      0.0578803435       4.2467032895       0.2526170404
      0.0635803435       4.6140664044       0.2606654702
      0.0692803435       4.7364980125       0.2631150987
      0.0749803435       4.3294684623       0.2569059478
      0.0806803435       5.1864427788       0.2724315785
      0.0863803435       5.0852047187       0.2713137701
      0.0920803435       5.0387883525       0.2705506752
      0.0977803435       5.4282872120       0.2776568206
      0.1034803435       5.3764498767       0.2755809298
      0.1091803435       5.3905586702       0.2737200871
      0.1148803435       5.3741491881       0.2728855347
      0.1205803435       4.6965273017       0.2598353246
      0.1262803435       4.5303655478       0.2586200703
      0.1319803435       4.1139035811       0.2507333505
      0.1376803435       4.1151214384       0.2515079823
      0.1433803435       3.5346220540       0.2403318536
      0.1490803435       3.5945518982       0.2439368163
      0.1547803435       3.6085143703       0.2451619984
      0.1604803435       2.9620419403       0.2329084413
      0.1661803435       2.9146248472       0.2331987749
      0.1718803435       2.7004378147       0.2301144566
      0.1775803435       2.7401992455       0.2317650051
      0.1832803435       2.2462110721       0.2203905066
      0.1889803435       2.1793125762       0.2201476785
      0.1946803435       2.1659455198       0.2230424724
      0.2003803435       2.1745056763       0.2226864550
      0.2060803435       1.8122045196       0.2162341114
      0.2117803435       1.8318223714       0.2171231293
      0.2174803435       1.5463838764       0.2105948746
      0.2231803435       1.1650790628       0.2008654198
      0.2288803435       1.2799913791       0.2052669832
      0.2345803435       1.6398996036       0.2173366700
      0.2402803435       1.5932810351       0.2189284304
      0.2459803435       1.5241174793       0.2164829293
      0.2516803435       1.7009713089       0.2220045662
      0.2573803435       1.9382319437       0.2298485395
      0.2630803435       1.9057981378       0.2313325207
      0.2687803435       2.2896919046       0.2431192111
      0.2744803435       2.1085422654       0.2396731133
      0.2801803435       2.3985799479       0.2482967315
      0.2858803435       3.1272216305       0.2700865713
      0.2915803435       3.2583469865       0.2726914500
      0.2972803435       3.5440012683       0.2817327411
      0.3029803435       3.2205355789       0.2790034491
      0.3086803435       3.5004974368       0.2862514719
      0.3143803435       3.4690727857       0.2887746614
      0.3200803435       3.7300477646       0.2937638148
      0.3257803435       3.7074595825       0.2963840344
      0.3314803435       3.1690223795       0.2839576354
      0.3371803435       3.2796483015       0.2918400007
      0.3428803435       3.8199886419       0.3360992337
      0.3485803435       3.9765713215       0.3849691010
      0.3542803435       3.6008112555       0.5924268274
