# 	doping	T (K)		H (r.l.u.)		K (r.l.u.)		L (r.l.u.)
       0.00        8           6.70          -7.50           0.50
       0.00        8           6.90          -7.50           0.50
       0.00        8           7.10          -7.50           0.50
       0.00        8           7.30          -7.50           0.50
       0.00        8           7.50          -7.50           0.50
       0.00        8           7.50          -8.00           0.50
       0.00        8           7.50          -7.80           0.50
       0.00        8           7.50          -7.60           0.50
       0.00        8           7.50          -7.40           0.50
       0.00        8           7.50          -7.20           0.50
       0.00        8           7.50          -7.00           0.50
       0.00        8           7.50          -7.50          -0.50
       0.00        8           7.50          -7.50          -0.40
       0.00        8           7.50          -7.50          -0.30
       0.00        8           7.50          -7.50          -0.20
       0.00        8           7.50          -7.50          -0.10
       0.00        8           7.50          -7.50           0.00
       0.00        8           7.50          -7.50           0.05
       0.00        8           7.50          -7.50           0.10
       0.00        8           7.50          -7.50           0.15
       0.00        8           7.50          -7.50           0.20
       0.00        8           7.50          -7.50           0.25
       0.00        8           7.50          -7.50           0.30
       0.00        8           7.50          -7.50           0.35
       0.00        8           7.50          -7.50           0.40
       0.00        8           7.50          -7.50           0.45
       0.00        8           7.50          -7.50           0.55
       0.00        8           7.50          -7.50           0.60
       0.00        8           7.50          -7.50           0.65
       0.00        8           7.50          -7.50           0.70
       0.00        8           7.50          -7.50           0.75
       0.00        8           7.50          -7.50           0.80
       0.00        8           7.50          -7.50           0.85
       0.00        8           7.50          -7.50           0.90
       0.00        8           7.50          -7.50           0.95
       0.00        8           7.50          -7.50           1.00
       0.02        8           3.15          15.00          -1.00
       0.02        8           3.65          15.00          -1.00
       0.02        8           4.15          15.00          -1.00
       0.02        8           3.50          15.50          -1.00
       0.02        8           3.50          15.80          -1.00
       0.02        8           3.50          16.50          -1.00
       0.02        8           3.50          15.50          -1.10
       0.02        8           3.50          15.50          -1.00
       0.02        8           3.50          15.50          -0.90
       0.02        8           3.50          15.50          -0.80
       0.02        8           3.50          15.50          -0.70
       0.02        8           3.50          15.50          -0.60
       0.02        8           3.50          15.50          -0.50
       0.02        8           3.50          15.50          -0.40
       0.02        8           3.50          15.50          -0.30
       0.02        8           3.50          15.50          -0.20
       0.02        8           3.50          15.50          -0.10
       0.02        8           3.50          15.50           0.00
       0.02        8           3.50          15.50           0.10
       0.02        8           3.50          15.50           0.20
       0.02      150           3.50          15.50          -1.00
       0.02      150           3.50          15.50          -0.60
