# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -227.9605997195             0.0296671137             0.0027817300             0.0000000000
         -226.8205997195             0.0299642124             0.0028208941             0.0000000000
         -225.6805997195             0.0302657870             0.0028601737             0.0000000000
         -224.5405997195             0.0305719275             0.0028995724             0.0000000000
         -223.4005997195             0.0308827264             0.0029391004             0.0000000000
         -222.2605997195             0.0311982786             0.0029787723             0.0000000000
         -221.1205997195             0.0315186812             0.0030185769             0.0000000000
         -219.9805997195             0.0318440339             0.0030585188             0.0000000000
         -218.8405997195             0.0321744390             0.0030986174             0.0000000000
         -217.7005997195             0.0325100014             0.0031388757             0.0000000000
         -216.5605997195             0.0328508287             0.0031792878             0.0000000000
         -215.4205997195             0.0331970315             0.0032198593             0.0000000000
         -214.2805997195             0.0335487230             0.0032606209             0.0000000000
         -213.1405997195             0.0339060196             0.0033015597             0.0000000000
         -212.0005997195             0.0342690409             0.0033426769             0.0000000000
         -210.8605997195             0.0346379094             0.0033839831             0.0000000000
         -209.7205997195             0.0350127510             0.0034255108             0.0000000000
         -208.5805997195             0.0353936952             0.0034672380             0.0000000000
         -207.4405997195             0.0357808747             0.0035091715             0.0000000000
         -206.3005997195             0.0361744261             0.0035513337             0.0000000000
         -205.1605997195             0.0365744896             0.0035937405             0.0000000000
         -204.0205997195             0.0369812092             0.0036363768             0.0000000000
         -202.8805997195             0.0373947331             0.0036792498             0.0000000000
         -201.7405997195             0.0378152134             0.0037223975             0.0000000000
         -200.6005997195             0.0382428067             0.0037658128             0.0000000000
         -199.4605997195             0.0386776739             0.0038094902             0.0000000000
         -198.3205997195             0.0391199804             0.0038534377             0.0000000000
         -197.1805997195             0.0395698964             0.0038977117             0.0000000000
         -196.0405997195             0.0400275969             0.0039422762             0.0000000000
         -194.9005997195             0.0404932621             0.0039871380             0.0000000000
         -193.7605997195             0.0409670774             0.0040323195             0.0000000000
         -192.6205997195             0.0414492333             0.0040778587             0.0000000000
         -191.4805997195             0.0419399264             0.0041237241             0.0000000000
         -190.3405997195             0.0424393586             0.0041699246             0.0000000000
         -189.2005997195             0.0429477382             0.0042165025             0.0000000000
         -188.0605997195             0.0434652795             0.0042634655             0.0000000000
         -186.9205997195             0.0439922033             0.0043107946             0.0000000000
         -185.7805997195             0.0445287369             0.0043584996             0.0000000000
         -184.6405997195             0.0450751148             0.0044066466             0.0000000000
         -183.5005997195             0.0456315785             0.0044552052             0.0000000000
         -182.3605997195             0.0461983769             0.0045041729             0.0000000000
         -181.2205997195             0.0467757668             0.0045535670             0.0000000000
         -180.0805997195             0.0473640126             0.0046034616             0.0000000000
         -178.9405997195             0.0479633875             0.0046538002             0.0000000000
         -177.8005997195             0.0485741728             0.0047045941             0.0000000000
         -176.6605997195             0.0491966591             0.0047558855             0.0000000000
         -175.5205997195             0.0498311461             0.0048077095             0.0000000000
         -174.3805997195             0.0504779432             0.0048600264             0.0000000000
         -173.2405997195             0.0511373697             0.0049128480             0.0000000000
         -172.1005997195             0.0518097553             0.0049662470             0.0000000000
         -170.9605997195             0.0524954405             0.0050202102             0.0000000000
         -169.8205997195             0.0531947771             0.0050747188             0.0000000000
         -168.6805997195             0.0539081286             0.0051297855             0.0000000000
         -167.5405997195             0.0546358703             0.0051855192             0.0000000000
         -166.4005997195             0.0553783905             0.0052418479             0.0000000000
         -165.2605997195             0.0561360905             0.0052987787             0.0000000000
         -164.1205997195             0.0569093850             0.0053563497             0.0000000000
         -162.9805997195             0.0576987033             0.0054146400             0.0000000000
         -161.8405997195             0.0585044892             0.0054735795             0.0000000000
         -160.7005997195             0.0593272022             0.0055331828             0.0000000000
         -159.5605997195             0.0601673175             0.0055935258             0.0000000000
         -158.4205997195             0.0610253274             0.0056546278             0.0000000000
         -157.2805997195             0.0619017414             0.0057164448             0.0000000000
         -156.1405997195             0.0627970872             0.0057789930             0.0000000000
         -155.0005997195             0.0637119116             0.0058423931             0.0000000000
         -153.8605997195             0.0646467811             0.0059065920             0.0000000000
         -152.7205997195             0.0656022827             0.0059715779             0.0000000000
         -151.5805997195             0.0665790253             0.0060373774             0.0000000000
         -150.4405997195             0.0675776401             0.0061041385             0.0000000000
         -149.3005997195             0.0685987816             0.0061717468             0.0000000000
         -148.1605997195             0.0696431292             0.0062402213             0.0000000000
         -147.0205997195             0.0707113878             0.0063096358             0.0000000000
         -145.8805997195             0.0718042892             0.0063800648             0.0000000000
         -144.7405997195             0.0729225932             0.0064514263             0.0000000000
         -143.6005997195             0.0740670889             0.0065237415             0.0000000000
