# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -226.3441722052             0.0332690051             0.0115179982             0.0000000000
         -225.2041722052             0.0336045008             0.0116296692             0.0000000000
         -224.0641722052             0.0339450858             0.0117424182             0.0000000000
         -222.9241722052             0.0342908635             0.0118562701             0.0000000000
         -221.7841722052             0.0346419397             0.0119712705             0.0000000000
         -220.6441722052             0.0349984228             0.0120876038             0.0000000000
         -219.5041722052             0.0353604244             0.0122051237             0.0000000000
         -218.3641722052             0.0357280586             0.0123238563             0.0000000000
         -217.2241722052             0.0361014425             0.0124438737             0.0000000000
         -216.0841722052             0.0364806965             0.0125653319             0.0000000000
         -214.9441722052             0.0368659439             0.0126880916             0.0000000000
         -213.8041722052             0.0372573114             0.0128121808             0.0000000000
         -212.6641722052             0.0376549290             0.0129377025             0.0000000000
         -211.5241722052             0.0380589301             0.0130647771             0.0000000000
         -210.3841722052             0.0384694518             0.0131932760             0.0000000000
         -209.2441722052             0.0388866348             0.0133232291             0.0000000000
         -208.1041722052             0.0393106236             0.0134547756             0.0000000000
         -206.9641722052             0.0397415667             0.0135879924             0.0000000000
         -205.8241722052             0.0401796167             0.0137227652             0.0000000000
         -204.6841722052             0.0406249301             0.0138591262             0.0000000000
         -203.5441722052             0.0410776682             0.0139972567             0.0000000000
         -202.4041722052             0.0415379963             0.0141371812             0.0000000000
         -201.2641722052             0.0420060847             0.0142788038             0.0000000000
         -200.1241722052             0.0424821083             0.0144221594             0.0000000000
         -198.9841722052             0.0429662469             0.0145674778             0.0000000000
         -197.8441722052             0.0434586855             0.0147147214             0.0000000000
         -196.7041722052             0.0439596144             0.0148638172             0.0000000000
         -195.5641722052             0.0444692294             0.0150148031             0.0000000000
         -194.4241722052             0.0449877318             0.0151679650             0.0000000000
         -193.2841722052             0.0455153288             0.0153231917             0.0000000000
         -192.1441722052             0.0460522338             0.0154804385             0.0000000000
         -191.0041722052             0.0465986664             0.0156397467             0.0000000000
         -189.8641722052             0.0471548526             0.0158014668             0.0000000000
         -188.7241722052             0.0477210251             0.0159654013             0.0000000000
         -187.5841722052             0.0482974238             0.0161315394             0.0000000000
         -186.4441722052             0.0488842957             0.0162999264             0.0000000000
         -185.3041722052             0.0494818951             0.0164709871             0.0000000000
         -184.1641722052             0.0500904842             0.0166444229             0.0000000000
         -183.0241722052             0.0507103334             0.0168202640             0.0000000000
         -181.8841722052             0.0513417211             0.0169985848             0.0000000000
         -180.7441722052             0.0519849345             0.0171798213             0.0000000000
         -179.6041722052             0.0526402698             0.0173636313             0.0000000000
         -178.4641722052             0.0533080324             0.0175500687             0.0000000000
         -177.3241722052             0.0539885375             0.0177392647             0.0000000000
         -176.1841722052             0.0546821101             0.0179315986             0.0000000000
         -175.0441722052             0.0553890857             0.0181267460             0.0000000000
         -173.9041722052             0.0561098107             0.0183247664             0.0000000000
         -172.7641722052             0.0568446425             0.0185258580             0.0000000000
         -171.6241722052             0.0575939503             0.0187303300             0.0000000000
         -170.4841722052             0.0583581155             0.0189378815             0.0000000000
         -169.3441722052             0.0591375318             0.0191485785             0.0000000000
         -168.2041722052             0.0599326062             0.0193626983             0.0000000000
         -167.0641722052             0.0607437592             0.0195804638             0.0000000000
         -165.9241722052             0.0615714256             0.0198016047             0.0000000000
