# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -227.2186243643             0.0067110314             0.0020285437             0.0000000000
         -226.0786243643             0.0067784568             0.0020593596             0.0000000000
         -224.9386243643             0.0068469012             0.0020902856             0.0000000000
         -223.7986243643             0.0069163854             0.0021213229             0.0000000000
         -222.6586243643             0.0069869303             0.0021524783             0.0000000000
         -221.5186243643             0.0070585576             0.0021837624             0.0000000000
         -220.3786243643             0.0071312897             0.0022151628             0.0000000000
         -219.2386243643             0.0072051491             0.0022466814             0.0000000000
         -218.0986243643             0.0072801594             0.0022783324             0.0000000000
         -216.9586243643             0.0073563444             0.0023101160             0.0000000000
         -215.8186243643             0.0074337288             0.0023420255             0.0000000000
         -214.6786243643             0.0075123378             0.0023740637             0.0000000000
         -213.5386243643             0.0075921974             0.0024062533             0.0000000000
         -212.3986243643             0.0076733342             0.0024385821             0.0000000000
         -211.2586243643             0.0077557754             0.0024710498             0.0000000000
         -210.1186243643             0.0078395491             0.0025036631             0.0000000000
         -208.9786243643             0.0079246841             0.0025364454             0.0000000000
         -207.8386243643             0.0080112099             0.0025693785             0.0000000000
         -206.6986243643             0.0080991571             0.0026024666             0.0000000000
         -205.5586243643             0.0081885567             0.0026357254             0.0000000000
         -204.4186243643             0.0082794409             0.0026691654             0.0000000000
         -203.2786243643             0.0083718427             0.0027027746             0.0000000000
         -202.1386243643             0.0084657958             0.0027365575             0.0000000000
         -200.9986243643             0.0085613352             0.0027705409             0.0000000000
         -199.8586243643             0.0086584967             0.0028047191             0.0000000000
         -198.7186243643             0.0087573171             0.0028390874             0.0000000000
         -197.5786243643             0.0088578342             0.0028736508             0.0000000000
         -196.4386243643             0.0089600870             0.0029084498             0.0000000000
         -195.2986243643             0.0090641156             0.0029434577             0.0000000000
         -194.1586243643             0.0091699612             0.0029786790             0.0000000000
         -193.0186243643             0.0092776664             0.0030141294             0.0000000000
         -191.8786243643             0.0093872747             0.0030498359             0.0000000000
         -190.7386243643             0.0094988311             0.0030857754             0.0000000000
         -189.5986243643             0.0096123819             0.0031219544             0.0000000000
         -188.4586243643             0.0097279748             0.0031584025             0.0000000000
         -187.3186243643             0.0098456590             0.0031951252             0.0000000000
         -186.1786243643             0.0099654850             0.0032321089             0.0000000000
         -185.0386243643             0.0100875049             0.0032693603             0.0000000000
         -183.8986243643             0.0102117724             0.0033069264             0.0000000000
         -182.7586243643             0.0103383429             0.0033447857             0.0000000000
         -181.6186243643             0.0104672735             0.0033829362             0.0000000000
         -180.4786243643             0.0105986231             0.0034213903             0.0000000000
         -179.3386243643             0.0107324522             0.0034602007             0.0000000000
         -178.1986243643             0.0108688236             0.0034993274             0.0000000000
         -177.0586243643             0.0110078017             0.0035387783             0.0000000000
         -175.9186243643             0.0111494532             0.0035785837             0.0000000000
         -174.7786243643             0.0112938468             0.0036187686             0.0000000000
         -173.6386243643             0.0114410536             0.0036593049             0.0000000000
         -172.4986243643             0.0115911468             0.0037002010             0.0000000000
         -171.3586243643             0.0117442021             0.0037415091             0.0000000000
         -170.2186243643             0.0119002977             0.0037832197             0.0000000000
         -169.0786243643             0.0120595143             0.0038253196             0.0000000000
         -167.9386243643             0.0122219353             0.0038678181             0.0000000000
         -166.7986243643             0.0123876470             0.0039107931             0.0000000000
         -165.6586243643             0.0125567385             0.0039541934             0.0000000000
         -164.5186243643             0.0127293020             0.0039980242             0.0000000000
         -163.3786243643             0.0129054327             0.0040423128             0.0000000000
         -162.2386243643             0.0130852294             0.0040871162             0.0000000000
         -161.0986243643             0.0132687939             0.0041323843             0.0000000000
         -159.9586243643             0.0134562319             0.0041781277             0.0000000000
         -158.8186243643             0.0136476527             0.0042244010             0.0000000000
         -157.6786243643             0.0138431693             0.0042712183             0.0000000000
         -156.5386243643             0.0140428990             0.0043185482             0.0000000000
         -155.3986243643             0.0142469631             0.0043664024             0.0000000000
         -154.2586243643             0.0144554874             0.0044148677             0.0000000000
         -153.1186243643             0.0146686021             0.0044639063             0.0000000000
         -151.9786243643             0.0148864424             0.0045135098             0.0000000000
         -150.8386243643             0.0151091484             0.0045636975             0.0000000000
         -149.6986243643             0.0153368652             0.0046145758             0.0000000000
         -148.5586243643             0.0155697437             0.0046660627             0.0000000000
         -147.4186243643             0.0158079402             0.0047181721             0.0000000000
         -146.2786243643             0.0160516171             0.0047709570             0.0000000000
         -145.1386243643             0.0163009428             0.0048244713             0.0000000000
         -143.9986243643             0.0165560924             0.0048786561             0.0000000000
         -142.8586243643             0.0168172477             0.0049335266             0.0000000000
         -141.7186243643             0.0170845977             0.0049891768             0.0000000000
         -140.5786243643             0.0173583387             0.0050455958             0.0000000000
         -139.4386243643             0.0176386749             0.0051027537             0.0000000000
         -138.2986243643             0.0179258186             0.0051606673             0.0000000000
         -137.1586243643             0.0182199909             0.0052194790             0.0000000000
         -136.0186243643             0.0185214214             0.0052791000             0.0000000000
         -134.8786243643             0.0188303497             0.0053395356             0.0000000000
         -133.7386243643             0.0191470247             0.0054008323             0.0000000000
         -132.5986243643             0.0194717062             0.0054631072             0.0000000000
         -131.4586243643             0.0198046645             0.0055262605             0.0000000000
         -130.3186243643             0.0201461816             0.0055903128             0.0000000000
         -129.1786243643             0.0204965513             0.0056553619             0.0000000000
         -128.0386243643             0.0208560803             0.0057214455             0.0000000000
         -126.8986243643             0.0212250883             0.0057884995             0.0000000000
         -125.7586243643             0.0216039092             0.0058565468             0.0000000000
         -124.6186243643             0.0219928915             0.0059257471             0.0000000000
         -123.4786243643             0.0223923992             0.0059960410             0.0000000000
         -122.3386243643             0.0228028128             0.0060674083             0.0000000000
         -121.1986243643             0.0232245297             0.0061398805             0.0000000000
         -120.0586243643             0.0236579657             0.0062136746             0.0000000000
         -118.9186243643             0.0241035556             0.0062886300             0.0000000000
         -117.7786243643             0.0245617545             0.0063647751             0.0000000000
         -116.6386243643             0.0250330386             0.0064422066             0.0000000000
         -115.4986243643             0.0255179069             0.0065210441             0.0000000000
         -114.3586243643             0.0260168819             0.0066011706             0.0000000000
         -113.2186243643             0.0265305114             0.0066826182             0.0000000000
         -112.0786243643             0.0270593699             0.0067655636             0.0000000000
         -110.9386243643             0.0276040599             0.0068500051             0.0000000000
         -109.7986243643             0.0281652138             0.0069358807             0.0000000000
         -108.6586243643             0.0287434954             0.0070232270             0.0000000000
         -107.5186243643             0.0293396023             0.0071123175             0.0000000000
         -106.3786243643             0.0299542672             0.0072030013             0.0000000000
         -105.2386243643             0.0305882609             0.0072952849             0.0000000000
         -104.0986243643             0.0312423937             0.0073892551             0.0000000000
         -102.9586243643             0.0319175189             0.0074851684             0.0000000000
         -101.8186243643             0.0326145346             0.0075828248             0.0000000000
         -100.6786243643             0.0333343870             0.0076822710             0.0000000000
          -99.5386243643             0.0340780734             0.0077836988             0.0000000000
          -98.3986243643             0.0348466457             0.0078872127             0.0000000000
          -97.2586243643             0.0356412138             0.0079926818             0.0000000000
          -96.1186243643             0.0364629493             0.0081001601             0.0000000000
          -94.9786243643             0.0373130904             0.0082099688             0.0000000000
          -93.8386243643             0.0381929456             0.0083220213             0.0000000000
          -92.6986243643             0.0391038997             0.0084362748             0.0000000000
          -91.5586243643             0.0400474185             0.0085527918             0.0000000000
          -90.4186243643             0.0410250553             0.0086720545             0.0000000000
          -89.2786243643             0.0420384578             0.0087937354             0.0000000000
          -88.1386243643             0.0430893759             0.0089179036             0.0000000000
          -86.9986243643             0.0441796700             0.0090447605             0.0000000000
          -85.8586243643             0.0453113216             0.0091746036             0.0000000000
          -84.7186243643             0.0464864453             0.0093071868             0.0000000000
          -83.5786243643             0.0477073021             0.0094425933             0.0000000000
          -82.4386243643             0.0489763174             0.0095812028             0.0000000000
          -81.2986243643             0.0502961007             0.0097230657             0.0000000000
          -80.1586243643             0.0516694717             0.0098680506             0.0000000000
          -79.0186243643             0.0530994919             0.0100162560             0.0000000000
          -77.8786243643             0.0545895045             0.0101682884             0.0000000000
          -76.7386243643             0.0561431854             0.0103238778             0.0000000000
          -75.5986243643             0.0577646075             0.0104830435             0.0000000000
          -74.4586243643             0.0594583234             0.0106459844             0.0000000000
          -73.3186243643             0.0612294708             0.0108133542             0.0000000000
          -72.1786243643             0.0630839070             0.0109847108             0.0000000000
          -71.0386243643             0.0650283804             0.0111601912             0.0000000000
          -69.8986243643             0.0670707486             0.0113402502             0.0000000000
          -68.7586243643             0.0692202542             0.0115252246             0.0000000000
          -67.6186243643             0.0714878717             0.0117148258             0.0000000000
          -66.4786243643             0.0738867419             0.0119092242             0.0000000000
          -65.3386243643             0.0764327117             0.0121092177             0.0000000000
          -64.1986243643             0.0791450004             0.0123147175             0.0000000000
          -63.0586243643             0.0820470155             0.0125256532             0.0000000000
          -61.9186243643             0.0851673443             0.0127422467             0.0000000000
          -60.7786243643             0.0885409468             0.0129657732             0.0000000000
          -59.6386243643             0.0922105796             0.0131955724             0.0000000000
          -58.4986243643             0.0962284774             0.0134318937             0.0000000000
          -57.3586243643             0.1006583172             0.0136753593             0.0000000000
          -56.2186243643             0.1055774901             0.0139270276             0.0000000000
          -55.0786243643             0.1110796924             0.0141863797             0.0000000000
          -53.9386243643             0.1172778475             0.0144538546             0.0000000000
          -52.7986243643             0.1243073498             0.0147307900             0.0000000000
          -51.6586243643             0.1323296108             0.0150177973             0.0000000000
          -50.5186243643             0.1415358676             0.0153148090             0.0000000000
          -49.3786243643             0.1521511867             0.0156225709             0.0000000000
          -48.2386243643             0.1644385743             0.0159437124             0.0000000000
          -47.0986243643             0.1787030679             0.0162781546             0.0000000000
          -45.9586243643             0.1952956565             0.0166266804             0.0000000000
          -44.8186243643             0.2146168365             0.0169909111             0.0000000000
          -43.6786243643             0.2371195820             0.0173751804             0.0000000000
          -42.5386243643             0.2633114716             0.0177788564             0.0000000000
          -41.3986243643             0.2937556904             0.0182041167             0.0000000000
          -40.2586243643             0.3290706013             0.0186552193             0.0000000000
          -39.1186243643             0.3699275748             0.0191369464             0.0000000000
          -37.9786243643             0.4170467654             0.0196500210             0.0000000000
          -36.8386243643             0.4711905417             0.0201983733             0.0000000000
          -35.6986243643             0.5331543162             0.0207915932             0.0000000000
          -34.5586243643             0.6037545736             0.0214337710             0.0000000000
          -33.4186243643             0.6838139744             0.0221283925             0.0000000000
          -32.2786243643             0.7741435071             0.0228821604             0.0000000000
          -31.1386243643             0.8755217763             0.0237147930             0.0000000000
          -29.9986243643             0.9886716444             0.0246259558             0.0000000000
          -28.8586243643             1.1142345817             0.0256244416             0.0000000000
          -27.7186243643             1.2527432253             0.0267249492             0.0000000000
          -26.5786243643             1.4045927806             0.0279525074             0.0000000000
          -25.4386243643             1.5700120227             0.0293062891             0.0000000000
          -24.2986243643             1.7490347520             0.0308004260             0.0000000000
          -23.1586243643             1.9414726171             0.0324650874             0.0000000000
          -22.0186243643             2.1468902382             0.0343208336             0.0000000000
          -20.8786243643             2.3645835252             0.0363713620             0.0000000000
          -19.7386243643             2.5935620022             0.0386354613             0.0000000000
          -18.5986243643             2.8325358099             0.0411673737             0.0000000000
          -17.4586243643             3.0799078928             0.0439688905             0.0000000000
          -16.3186243643             3.3337717018             0.0470523374             0.0000000000
          -15.1786243643             3.5919146067             0.0504432018             0.0000000000
          -14.0386243643             3.8518271731             0.0542190619             0.0000000000
          -12.8986243643             4.1107185823             0.0583516908             0.0000000000
          -11.7586243643             4.3655388317             0.0628641609             0.0000000000
          -10.6186243643             4.6130089825             0.0678045516             0.0000000000
           -9.4786243643             4.8496615839             0.0732239993             0.0000000000
           -8.3386243643             5.0718943399             0.0790966516             0.0000000000
           -7.1986243643             5.2760407388             0.0854429702             0.0000000000
           -6.0586243643             5.4584612210             0.0923374409             0.0000000000
           -4.9186243643             5.6156568915             0.0997803588             0.0000000000
           -3.7786243643             5.7444043561             0.1077536528             0.0000000000
           -2.6386243643             5.8419050488             0.1162702689             0.0000000000
           -1.4986243643             5.9059363979             0.1254292019             0.0000000000
           -0.3586243643             5.9349871800             0.1351615053             0.0000000000
            0.7813756357             5.9283576812             0.1454616913             0.0000000000
            1.9213756357             5.8862083679             0.1563491382             0.0000000000
            3.0613756357             5.8095485951             0.1678850660             0.0000000000
            4.2013756357             5.7001673483             0.1799825324             0.0000000000
            5.3413756357             5.5605178535             0.1926334507             0.0000000000
            6.4813756357             5.3935740959             0.2058697815             0.0000000000
            7.6213756357             5.2026784954             0.2196820764             0.0000000000
            8.7613756357             4.9913967975             0.2340032869             0.0000000000
            9.9013756357             4.7633906071             0.2488152820             0.0000000000
           11.0413756357             4.5223120954             0.2641565476             0.0000000000
           12.1813756357             4.2717208044             0.2799618872             0.0000000000
           13.3213756357             4.0150197566             0.2961874722             0.0000000000
           14.4613756357             3.7554071093             0.3128111898             0.0000000000
           15.6013756357             3.4958398141             0.3298664215             0.0000000000
           16.7413756357             3.2390065512             0.3472619409             0.0000000000
           17.8813756357             2.9873081524             0.3649729111             0.0000000000
           19.0213756357             2.7428445081             0.3829886336             0.0000000000
           20.1613756357             2.5074074872             0.4012978820             0.0000000000
           21.3013756357             2.2824796587             0.4198421322             0.0000000000
           22.4413756357             2.0692386636             0.4385979770             0.0000000000
           23.5813756357             1.8685669977             0.4575596061             0.0000000000
           24.7213756357             1.6810668122             0.4766949740             0.0000000000
           25.8613756357             1.5070791619             0.4959697958             0.0000000000
           27.0013756357             1.3467069719             0.5153639315             0.0000000000
           28.1413756357             1.1998408750             0.5348703903             0.0000000000
           29.2813756357             1.0661870043             0.5544553844             0.0000000000
           30.4213756357             0.9452958108             0.5740993434             0.0000000000
           31.5613756357             0.8365910084             0.5937863731             0.0000000000
           32.7013756357             0.7393978257             0.6135011618             0.0000000000
           33.8413756357             0.6529698498             0.6332232422             0.0000000000
           34.9813756357             0.5765138767             0.6529384320             0.0000000000
           36.1213756357             0.5092123227             0.6726305219             0.0000000000
           37.2613756357             0.4502428922             0.6922828929             0.0000000000
           38.4013756357             0.3987953345             0.7118854375             0.0000000000
           39.5413756357             0.3540852472             0.7314260669             0.0000000000
           40.6813756357             0.3153649900             0.7508823664             0.0000000000
           41.8213756357             0.2819318639             0.7702462733             0.0000000000
           42.9613756357             0.2531337788             0.7895104101             0.0000000000
           44.1013756357             0.2283726800             0.8086637064             0.0000000000
           45.2413756357             0.2071060364             0.8276721869             0.0000000000
           46.3813756357             0.1888467017             0.8465445659             0.0000000000
           47.5213756357             0.1731614614             0.8652701758             0.0000000000
           48.6613756357             0.1596685611             0.8838300776             0.0000000000
