# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -223.5285261941             0.0035972150             0.0079282390             0.0000000000
         -222.3885261941             0.0036339490             0.0080074620             0.0000000000
         -221.2485261941             0.0036712473             0.0080874125             0.0000000000
         -220.1085261941             0.0037091214             0.0081681075             0.0000000000
         -218.9685261941             0.0037475834             0.0082495994             0.0000000000
         -217.8285261941             0.0037866454             0.0083319741             0.0000000000
         -216.6885261941             0.0038263199             0.0084151506             0.0000000000
         -215.5485261941             0.0038666197             0.0084991468             0.0000000000
         -214.4085261941             0.0039075581             0.0085840585             0.0000000000
         -213.2685261941             0.0039491485             0.0086699025             0.0000000000
         -212.1285261941             0.0039914049             0.0087566271             0.0000000000
         -210.9885261941             0.0040343415             0.0088442514             0.0000000000
         -209.8485261941             0.0040779729             0.0089329223             0.0000000000
         -208.7085261941             0.0041223142             0.0090225734             0.0000000000
         -207.5685261941             0.0041673809             0.0091131893             0.0000000000
         -206.4285261941             0.0042131888             0.0092047974             0.0000000000
         -205.2885261941             0.0042597541             0.0092975836             0.0000000000
         -204.1485261941             0.0043070937             0.0093914033             0.0000000000
         -203.0085261941             0.0043552248             0.0094862783             0.0000000000
         -201.8685261941             0.0044041650             0.0095822879             0.0000000000
         -200.7285261941             0.0044539325             0.0096795361             0.0000000000
         -199.5885261941             0.0045045461             0.0097779135             0.0000000000
         -198.4485261941             0.0045560250             0.0098774437             0.0000000000
         -197.3085261941             0.0046083890             0.0099782675             0.0000000000
         -196.1685261941             0.0046616583             0.0100803902             0.0000000000
         -195.0285261941             0.0047158541             0.0101837458             0.0000000000
         -193.8885261941             0.0047709977             0.0102883599             0.0000000000
         -192.7485261941             0.0048271113             0.0103944453             0.0000000000
         -191.6085261941             0.0048842178             0.0105018900             0.0000000000
         -190.4685261941             0.0049423407             0.0106106804             0.0000000000
         -189.3285261941             0.0050015042             0.0107208636             0.0000000000
         -188.1885261941             0.0050617331             0.0108326786             0.0000000000
         -187.0485261941             0.0051230531             0.0109459327             0.0000000000
         -185.9085261941             0.0051854907             0.0110606557             0.0000000000
         -184.7685261941             0.0052490731             0.0111769683             0.0000000000
         -183.6285261941             0.0053138283             0.0112949938             0.0000000000
         -182.4885261941             0.0053797853             0.0114145905             0.0000000000
         -181.3485261941             0.0054469739             0.0115357910             0.0000000000
         -180.2085261941             0.0055154249             0.0116588030             0.0000000000
         -179.0685261941             0.0055851700             0.0117836111             0.0000000000
         -177.9285261941             0.0056562418             0.0119101356             0.0000000000
         -176.7885261941             0.0057286742             0.0120384122             0.0000000000
         -175.6485261941             0.0058025019             0.0121687509             0.0000000000
         -174.5085261941             0.0058777609             0.0123009715             0.0000000000
         -173.3685261941             0.0059544884             0.0124350684             0.0000000000
         -172.2285261941             0.0060327225             0.0125711219             0.0000000000
         -171.0885261941             0.0061125029             0.0127094399             0.0000000000
         -169.9485261941             0.0061938705             0.0128497686             0.0000000000
         -168.8085261941             0.0062768674             0.0129921507             0.0000000000
         -167.6685261941             0.0063615373             0.0131367718             0.0000000000
         -166.5285261941             0.0064479253             0.0132837772             0.0000000000
         -165.3885261941             0.0065360779             0.0134329850             0.0000000000
         -164.2485261941             0.0066260434             0.0135844431             0.0000000000
         -163.1085261941             0.0067178717             0.0137384618             0.0000000000
         -161.9685261941             0.0068116142             0.0138949902             0.0000000000
         -160.8285261941             0.0069073244             0.0140539349             0.0000000000
         -159.6885261941             0.0070050574             0.0142153490             0.0000000000
         -158.5485261941             0.0071048704             0.0143796908             0.0000000000
         -157.4085261941             0.0072068226             0.0145466744             0.0000000000
         -156.2685261941             0.0073109752             0.0147163130             0.0000000000
         -155.1285261941             0.0074173919             0.0148887426             0.0000000000
         -153.9885261941             0.0075261383             0.0150643667             0.0000000000
         -152.8485261941             0.0076372827             0.0152428482             0.0000000000
         -151.7085261941             0.0077508956             0.0154242522             0.0000000000
         -150.5685261941             0.0078670505             0.0156088686             0.0000000000
         -149.4285261941             0.0079858234             0.0157968684             0.0000000000
         -148.2885261941             0.0081072931             0.0159880183             0.0000000000
         -147.1485261941             0.0082315414             0.0161823916             0.0000000000
         -146.0085261941             0.0083586533             0.0163804628             0.0000000000
         -144.8685261941             0.0084887171             0.0165821196             0.0000000000
         -143.7285261941             0.0086218243             0.0167872566             0.0000000000
         -142.5885261941             0.0087580702             0.0169959566             0.0000000000
         -141.4485261941             0.0088975536             0.0172089152             0.0000000000
         -140.3085261941             0.0090403774             0.0174256761             0.0000000000
         -139.1685261941             0.0091866485             0.0176462908             0.0000000000
         -138.0285261941             0.0093364780             0.0178709929             0.0000000000
         -136.8885261941             0.0094899816             0.0181003240             0.0000000000
         -135.7485261941             0.0096472798             0.0183338295             0.0000000000
         -134.6085261941             0.0098084978             0.0185716131             0.0000000000
         -133.4685261941             0.0099737662             0.0188141410             0.0000000000
         -132.3285261941             0.0101432210             0.0190616142             0.0000000000
         -131.1885261941             0.0103170038             0.0193137311             0.0000000000
         -130.0485261941             0.0104952623             0.0195706100             0.0000000000
         -128.9085261941             0.0106781504             0.0198330001             0.0000000000
         -127.7685261941             0.0108658289             0.0201006804             0.0000000000
         -126.6285261941             0.0110584653             0.0203735411             0.0000000000
         -125.4885261941             0.0112562346             0.0206517177             0.0000000000
         -124.3485261941             0.0114593193             0.0209363045             0.0000000000
         -123.2085261941             0.0116679104             0.0212265580             0.0000000000
         -122.0685261941             0.0118822072             0.0215226083             0.0000000000
         -120.9285261941             0.0121024181             0.0218248650             0.0000000000
         -119.7885261941             0.0123287611             0.0221340818             0.0000000000
         -118.6485261941             0.0125614641             0.0224496315             0.0000000000
         -117.5085261941             0.0128007657             0.0227716888             0.0000000000
         -116.3685261941             0.0130469158             0.0231010312             0.0000000000
         -115.2285261941             0.0133001759             0.0234378955             0.0000000000
         -114.0885261941             0.0135608203             0.0237818885             0.0000000000
