# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -226.3534122127             0.0077545748             0.0040934733             0.0000000000
         -225.2134122127             0.0078327809             0.0041470396             0.0000000000
         -224.0734122127             0.0079121735             0.0042008040             0.0000000000
         -222.9334122127             0.0079927767             0.0042547734             0.0000000000
         -221.7934122127             0.0080746152             0.0043089663             0.0000000000
         -220.6534122127             0.0081577142             0.0043634083             0.0000000000
         -219.5134122127             0.0082420998             0.0044180805             0.0000000000
         -218.3734122127             0.0083277986             0.0044729908             0.0000000000
         -217.2334122127             0.0084148379             0.0045281725             0.0000000000
         -216.0934122127             0.0085032457             0.0045836305             0.0000000000
         -214.9534122127             0.0085930508             0.0046393543             0.0000000000
         -213.8134122127             0.0086842828             0.0046953528             0.0000000000
         -212.6734122127             0.0087769720             0.0047516783             0.0000000000
         -211.5334122127             0.0088711495             0.0048083073             0.0000000000
         -210.3934122127             0.0089668472             0.0048652414             0.0000000000
         -209.2534122127             0.0090640979             0.0049224972             0.0000000000
         -208.1134122127             0.0091629354             0.0049801291             0.0000000000
         -206.9734122127             0.0092633943             0.0050380983             0.0000000000
         -205.8334122127             0.0093655101             0.0050964152             0.0000000000
         -204.6934122127             0.0094693195             0.0051551162             0.0000000000
         -203.5534122127             0.0095748599             0.0052142263             0.0000000000
         -202.4134122127             0.0096821699             0.0052737188             0.0000000000
         -201.2734122127             0.0097912893             0.0053336046             0.0000000000
         -200.1334122127             0.0099022587             0.0053939448             0.0000000000
         -198.9934122127             0.0100151203             0.0054547264             0.0000000000
         -197.8534122127             0.0101299171             0.0055159387             0.0000000000
         -196.7134122127             0.0102466934             0.0055775933             0.0000000000
         -195.5734122127             0.0103654950             0.0056397812             0.0000000000
         -194.4334122127             0.0104863687             0.0057024416             0.0000000000
         -193.2934122127             0.0106093630             0.0057655843             0.0000000000
         -192.1534122127             0.0107345276             0.0058292441             0.0000000000
         -191.0134122127             0.0108619136             0.0058934808             0.0000000000
         -189.8734122127             0.0109915739             0.0059582420             0.0000000000
         -188.7334122127             0.0111235626             0.0060235408             0.0000000000
         -187.5934122127             0.0112579358             0.0060894433             0.0000000000
         -186.4534122127             0.0113947509             0.0061559603             0.0000000000
         -185.3134122127             0.0115340675             0.0062230601             0.0000000000
         -184.1734122127             0.0116759465             0.0062907570             0.0000000000
         -183.0334122127             0.0118204510             0.0063591543             0.0000000000
         -181.8934122127             0.0119676461             0.0064282025             0.0000000000
         -180.7534122127             0.0121175986             0.0064978963             0.0000000000
         -179.6134122127             0.0122703778             0.0065682620             0.0000000000
         -178.4734122127             0.0124260547             0.0066394143             0.0000000000
         -177.3334122127             0.0125847029             0.0067112637             0.0000000000
         -176.1934122127             0.0127463982             0.0067838263             0.0000000000
         -175.0534122127             0.0129112189             0.0068571675             0.0000000000
         -173.9134122127             0.0130792458             0.0069313405             0.0000000000
         -172.7734122127             0.0132505622             0.0070062823             0.0000000000
         -171.6334122127             0.0134252543             0.0070820103             0.0000000000
         -170.4934122127             0.0136034110             0.0071586366             0.0000000000
         -169.3534122127             0.0137851242             0.0072361394             0.0000000000
         -168.2134122127             0.0139704887             0.0073144887             0.0000000000
         -167.0734122127             0.0141596028             0.0073937034             0.0000000000
         -165.9334122127             0.0143525677             0.0074739510             0.0000000000
         -164.7934122127             0.0145494885             0.0075551192             0.0000000000
         -163.6534122127             0.0147504734             0.0076372183             0.0000000000
         -162.5134122127             0.0149556346             0.0077203060             0.0000000000
         -161.3734122127             0.0151650881             0.0078045041             0.0000000000
         -160.2334122127             0.0153789541             0.0078897031             0.0000000000
         -159.0934122127             0.0155973567             0.0079759254             0.0000000000
         -157.9534122127             0.0158204247             0.0080632867             0.0000000000
         -156.8134122127             0.0160482912             0.0081518164             0.0000000000
         -155.6734122127             0.0162810943             0.0082414461             0.0000000000
         -154.5334122127             0.0165189770             0.0083322002             0.0000000000
         -153.3934122127             0.0167620873             0.0084242637             0.0000000000
         -152.2534122127             0.0170105789             0.0085175542             0.0000000000
         -151.1134122127             0.0172646110             0.0086120536             0.0000000000
         -149.9734122127             0.0175243488             0.0087078019             0.0000000000
         -148.8334122127             0.0177899635             0.0088050261             0.0000000000
         -147.6934122127             0.0180616329             0.0089035502             0.0000000000
         -146.5534122127             0.0183395415             0.0090034033             0.0000000000
         -145.4134122127             0.0186238807             0.0091046981             0.0000000000
         -144.2734122127             0.0189148496             0.0092075486             0.0000000000
         -143.1334122127             0.0192126546             0.0093118289             0.0000000000
         -141.9934122127             0.0195175104             0.0094175714             0.0000000000
         -140.8534122127             0.0198296402             0.0095249756             0.0000000000
         -139.7134122127             0.0201492759             0.0096340182             0.0000000000
         -138.5734122127             0.0204766587             0.0097446352             0.0000000000
         -137.4334122127             0.0208120395             0.0098568625             0.0000000000
         -136.2934122127             0.0211556795             0.0099710032             0.0000000000
         -135.1534122127             0.0215078503             0.0100868682             0.0000000000
         -134.0134122127             0.0218688351             0.0102044689             0.0000000000
         -132.8734122127             0.0222389285             0.0103239043             0.0000000000
         -131.7334122127             0.0226184375             0.0104454240             0.0000000000
         -130.5934122127             0.0230076823             0.0105688161             0.0000000000
         -129.4534122127             0.0234069966             0.0106941247             0.0000000000
         -128.3134122127             0.0238167282             0.0108215587             0.0000000000
         -127.1734122127             0.0242372402             0.0109511990             0.0000000000
         -126.0334122127             0.0246689116             0.0110829096             0.0000000000
         -124.8934122127             0.0251121378             0.0112167401             0.0000000000
         -123.7534122127             0.0255673319             0.0113530320             0.0000000000
         -122.6134122127             0.0260349256             0.0114916597             0.0000000000
         -121.4734122127             0.0265153699             0.0116325810             0.0000000000
         -120.3334122127             0.0270091364             0.0117758641             0.0000000000
         -119.1934122127             0.0275167183             0.0119219744             0.0000000000
         -118.0534122127             0.0280386318             0.0120705700             0.0000000000
