# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -225.9970613829             0.0201351430             0.0033192644             0.0000000000
         -224.8570613829             0.0203385277             0.0033540201             0.0000000000
         -223.7170613829             0.0205450028             0.0033891121             0.0000000000
         -222.5770613829             0.0207546313             0.0034245473             0.0000000000
         -221.4370613829             0.0209674774             0.0034603501             0.0000000000
         -220.2970613829             0.0211836074             0.0034965564             0.0000000000
         -219.1570613829             0.0214030888             0.0035331291             0.0000000000
         -218.0170613829             0.0216259912             0.0035700756             0.0000000000
         -216.8770613829             0.0218523859             0.0036074414             0.0000000000
         -215.7370613829             0.0220823461             0.0036452275             0.0000000000
         -214.5970613829             0.0223159468             0.0036834123             0.0000000000
         -213.4570613829             0.0225532652             0.0037220038             0.0000000000
         -212.3170613829             0.0227943802             0.0037610722             0.0000000000
         -211.1770613829             0.0230393732             0.0038005773             0.0000000000
         -210.0370613829             0.0232883276             0.0038405160             0.0000000000
         -208.8970613829             0.0235413290             0.0038809067             0.0000000000
         -207.7570613829             0.0237984653             0.0039218189             0.0000000000
         -206.6170613829             0.0240598270             0.0039631935             0.0000000000
         -205.4770613829             0.0243255069             0.0040050396             0.0000000000
         -204.3370613829             0.0245956004             0.0040474013             0.0000000000
         -203.1970613829             0.0248702055             0.0040903062             0.0000000000
         -202.0570613829             0.0251494230             0.0041337139             0.0000000000
         -200.9170613829             0.0254333566             0.0041776343             0.0000000000
         -199.7770613829             0.0257221127             0.0042221415             0.0000000000
         -198.6370613829             0.0260158008             0.0042672138             0.0000000000
         -197.4970613829             0.0263145337             0.0043128328             0.0000000000
         -196.3570613829             0.0266184271             0.0043590096             0.0000000000
         -195.2170613829             0.0269276003             0.0044058532             0.0000000000
         -194.0770613829             0.0272421760             0.0044532836             0.0000000000
         -192.9370613829             0.0275622804             0.0045013090             0.0000000000
         -191.7970613829             0.0278880434             0.0045499684             0.0000000000
         -190.6570613829             0.0282195988             0.0045993308             0.0000000000
         -189.5170613829             0.0285570843             0.0046493285             0.0000000000
         -188.3770613829             0.0289006417             0.0046999743             0.0000000000
         -187.2370613829             0.0292504171             0.0047513439             0.0000000000
         -186.0970613829             0.0296065611             0.0048034467             0.0000000000
         -184.9570613829             0.0299692286             0.0048562419             0.0000000000
         -183.8170613829             0.0303385795             0.0049097436             0.0000000000
         -182.6770613829             0.0307147783             0.0049640706             0.0000000000
         -181.5370613829             0.0310979950             0.0050191618             0.0000000000
         -180.3970613829             0.0314884046             0.0050750085             0.0000000000
         -179.2570613829             0.0318861875             0.0051316389             0.0000000000
         -178.1170613829             0.0322915300             0.0051891843             0.0000000000
         -176.9770613829             0.0327046243             0.0052475381             0.0000000000
         -175.8370613829             0.0331256684             0.0053067172             0.0000000000
         -174.6970613829             0.0335548671             0.0053667952             0.0000000000
         -173.5570613829             0.0339924313             0.0054278318             0.0000000000
         -172.4170613829             0.0344385793             0.0054897524             0.0000000000
