# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -222.1330690654             0.0073298290             0.0244605098             0.0000000000
         -220.9930690654             0.0074051473             0.0247124628             0.0000000000
         -219.8530690654             0.0074816298             0.0249664208             0.0000000000
         -218.7130690654             0.0075593007             0.0252224359             0.0000000000
         -217.5730690654             0.0076381846             0.0254806590             0.0000000000
         -216.4330690654             0.0077183069             0.0257413349             0.0000000000
         -215.2930690654             0.0077996936             0.0260042439             0.0000000000
         -214.1530690654             0.0078823713             0.0262694406             0.0000000000
         -213.0130690654             0.0079663675             0.0265371981             0.0000000000
         -211.8730690654             0.0080517102             0.0268075687             0.0000000000
         -210.7330690654             0.0081384283             0.0270804125             0.0000000000
         -209.5930690654             0.0082265515             0.0273557871             0.0000000000
         -208.4530690654             0.0083161101             0.0276341114             0.0000000000
         -207.3130690654             0.0084071356             0.0279152022             0.0000000000
         -206.1730690654             0.0084996599             0.0281990204             0.0000000000
         -205.0330690654             0.0085937161             0.0284856471             0.0000000000
         -203.8930690654             0.0086893381             0.0287756132             0.0000000000
         -202.7530690654             0.0087865608             0.0290685128             0.0000000000
         -201.6130690654             0.0088854200             0.0293644105             0.0000000000
         -200.4730690654             0.0089859525             0.0296635356             0.0000000000
         -199.3330690654             0.0090881962             0.0299661872             0.0000000000
         -198.1930690654             0.0091921901             0.0302720574             0.0000000000
         -197.0530690654             0.0092979742             0.0305812157             0.0000000000
         -195.9130690654             0.0094055897             0.0308940672             0.0000000000
         -194.7730690654             0.0095150790             0.0312106295             0.0000000000
         -193.6330690654             0.0096264858             0.0315307171             0.0000000000
         -192.4930690654             0.0097398549             0.0318544047             0.0000000000
         -191.3530690654             0.0098552326             0.0321823044             0.0000000000
         -190.2130690654             0.0099726665             0.0325140972             0.0000000000
         -189.0730690654             0.0100922055             0.0328497464             0.0000000000
         -187.9330690654             0.0102139001             0.0331893885             0.0000000000
         -186.7930690654             0.0103378024             0.0335337107             0.0000000000
         -185.6530690654             0.0104639658             0.0338821621             0.0000000000
         -184.5130690654             0.0105924455             0.0342348291             0.0000000000
         -183.3730690654             0.0107232984             0.0345920598             0.0000000000
         -182.2330690654             0.0108565831             0.0349542090             0.0000000000
         -181.0930690654             0.0109923601             0.0353208711             0.0000000000
         -179.9530690654             0.0111306916             0.0356921402             0.0000000000
         -178.8130690654             0.0112716420             0.0360686139             0.0000000000
         -177.6730690654             0.0114152774             0.0364502486             0.0000000000
         -176.5330690654             0.0115616664             0.0368368152             0.0000000000
         -175.3930690654             0.0117108794             0.0372284169             0.0000000000
         -174.2530690654             0.0118629894             0.0376259446             0.0000000000
         -173.1130690654             0.0120180716             0.0380288799             0.0000000000
         -171.9730690654             0.0121762035             0.0384372070             0.0000000000
         -170.8330690654             0.0123374654             0.0388511557             0.0000000000
         -169.6930690654             0.0125019401             0.0392716107             0.0000000000
         -168.5530690654             0.0126697132             0.0396978414             0.0000000000
         -167.4130690654             0.0128408732             0.0401299702             0.0000000000
         -166.2730690654             0.0130155114             0.0405685285             0.0000000000
         -165.1330690654             0.0131937224             0.0410139323             0.0000000000
         -163.9930690654             0.0133756039             0.0414656583             0.0000000000
         -162.8530690654             0.0135612569             0.0419238419             0.0000000000
         -161.7130690654             0.0137507861             0.0423893719             0.0000000000
         -160.5730690654             0.0139442996             0.0428621004             0.0000000000
         -159.4330690654             0.0141419093             0.0433417567             0.0000000000
         -158.2930690654             0.0143437313             0.0438284912             0.0000000000
         -157.1530690654             0.0145498856             0.0443236147             0.0000000000
         -156.0130690654             0.0147604964             0.0448263048             0.0000000000
         -154.8730690654             0.0149756926             0.0453365962             0.0000000000
         -153.7330690654             0.0151956076             0.0458548758             0.0000000000
         -152.5930690654             0.0154203798             0.0463822939             0.0000000000
         -151.4530690654             0.0156501525             0.0469178824             0.0000000000
         -150.3130690654             0.0158850745             0.0474618236             0.0000000000
         -149.1730690654             0.0161253001             0.0480149422             0.0000000000
         -148.0330690654             0.0163709891             0.0485777214             0.0000000000
         -146.8930690654             0.0166223079             0.0491494904             0.0000000000
         -145.7530690654             0.0168794287             0.0497304538             0.0000000000
         -144.6130690654             0.0171425306             0.0503219590             0.0000000000
         -143.4730690654             0.0174117996             0.0509236798             0.0000000000
         -142.3330690654             0.0176874288             0.0515353105             0.0000000000
         -141.1930690654             0.0179696190             0.0521570810             0.0000000000
         -140.0530690654             0.0182585791             0.0527909636             0.0000000000
         -138.9130690654             0.0185545259             0.0534356526             0.0000000000
         -137.7730690654             0.0188576853             0.0540912880             0.0000000000
         -136.6330690654             0.0191682921             0.0547585262             0.0000000000
         -135.4930690654             0.0194865908             0.0554388951             0.0000000000
         -134.3530690654             0.0198128360             0.0561310968             0.0000000000
         -133.2130690654             0.0201472926             0.0568354174             0.0000000000
         -132.0730690654             0.0204902369             0.0575531673             0.0000000000
         -130.9330690654             0.0208419566             0.0582849054             0.0000000000
         -129.7930690654             0.0212027517             0.0590297681             0.0000000000
         -128.6530690654             0.0215729350             0.0597880807             0.0000000000
         -127.5130690654             0.0219528329             0.0605619465             0.0000000000
         -126.3730690654             0.0223427859             0.0613507295             0.0000000000
         -125.2330690654             0.0227431494             0.0621541080             0.0000000000
         -124.0930690654             0.0231542947             0.0629724535             0.0000000000
         -122.9530690654             0.0235766096             0.0638088297             0.0000000000
         -121.8130690654             0.0240104992             0.0646611316             0.0000000000
         -120.6730690654             0.0244563871             0.0655297110             0.0000000000
         -119.5330690654             0.0249147165             0.0664157038             0.0000000000
         -118.3930690654             0.0253859508             0.0673212062             0.0000000000
         -117.2530690654             0.0258705751             0.0682444428             0.0000000000
         -116.1130690654             0.0263690974             0.0691858875             0.0000000000
         -114.9730690654             0.0268820496             0.0701476965             0.0000000000
         -113.8330690654             0.0274099892             0.0711305109             0.0000000000
         -112.6930690654             0.0279535007             0.0721332126             0.0000000000
         -111.5530690654             0.0285131970             0.0731563491             0.0000000000
         -110.4130690654             0.0290897212             0.0742033361             0.0000000000
         -109.2730690654             0.0296837484             0.0752729818             0.0000000000
         -108.1330690654             0.0302959875             0.0763650068             0.0000000000
         -106.9930690654             0.0309271832             0.0774801166             0.0000000000
         -105.8530690654             0.0315781185             0.0786230722             0.0000000000
         -104.7130690654             0.0322496165             0.0797905902             0.0000000000
         -103.5730690654             0.0329425436             0.0809833857             0.0000000000
         -102.4330690654             0.0336578115             0.0822034954             0.0000000000
         -101.2930690654             0.0343963804             0.0834539279             0.0000000000
         -100.1530690654             0.0351592622             0.0847321885             0.0000000000
          -99.0130690654             0.0359475238             0.0860391148             0.0000000000
          -97.8730690654             0.0367622903             0.0873784274             0.0000000000
          -96.7330690654             0.0376047497             0.0887508516             0.0000000000
          -95.5930690654             0.0384761562             0.0901549382             0.0000000000
          -94.4530690654             0.0393778354             0.0915916735             0.0000000000
          -93.3130690654             0.0403111894             0.0930669079             0.0000000000
          -92.1730690654             0.0412777016             0.0945784081             0.0000000000
          -91.0330690654             0.0422789437             0.0961260984             0.0000000000
          -89.8930690654             0.0433165815             0.0977115291             0.0000000000
          -88.7530690654             0.0443923834             0.0993421031             0.0000000000
          -87.6130690654             0.0455082284             0.1010129088             0.0000000000
          -86.4730690654             0.0466661160             0.1027252848             0.0000000000
          -85.3330690654             0.0478681782             0.1044830818             0.0000000000
          -84.1930690654             0.0491166924             0.1062909003             0.0000000000
          -83.0530690654             0.0504140981             0.1081451206             0.0000000000
          -81.9130690654             0.0517630165             0.1100473479             0.0000000000
          -80.7730690654             0.0531662744             0.1120044315             0.0000000000
          -79.6330690654             0.0546269348             0.1140171776             0.0000000000
          -78.4930690654             0.0561483341             0.1160837493             0.0000000000
          -77.3530690654             0.0577341301             0.1182060871             0.0000000000
          -76.2130690654             0.0593883628             0.1203949552             0.0000000000
          -75.0730690654             0.0611155314             0.1226460575             0.0000000000
          -73.9330690654             0.0629206938             0.1249599956             0.0000000000
          -72.7930690654             0.0648095926             0.1273402772             0.0000000000
          -71.6530690654             0.0667888166             0.1297993870             0.0000000000
          -70.5130690654             0.0688660063             0.1323296062             0.0000000000
          -69.3730690654             0.0710501143             0.1349337266             0.0000000000
          -68.2330690654             0.0733517336             0.1376196609             0.0000000000
          -67.0930690654             0.0757835099             0.1403951906             0.0000000000
          -65.9530690654             0.0783606554             0.1432549488             0.0000000000
          -64.8130690654             0.0811015855             0.1462024659             0.0000000000
          -63.6730690654             0.0840287006             0.1492517548             0.0000000000
          -62.5330690654             0.0871693402             0.1524039550             0.0000000000
          -61.3930690654             0.0905569357             0.1556572501             0.0000000000
          -60.2530690654             0.0942323914             0.1590163155             0.0000000000
          -59.1130690654             0.0982457243             0.1625039361             0.0000000000
          -57.9730690654             0.1026579879             0.1661119758             0.0000000000
          -56.8330690654             0.1075435096             0.1698441498             0.0000000000
          -55.6930690654             0.1129924576             0.1737104737             0.0000000000
          -54.5530690654             0.1191137528             0.1777374526             0.0000000000
          -53.4130690654             0.1260383249             0.1819136933             0.0000000000
          -52.2730690654             0.1339226998             0.1862488435             0.0000000000
          -51.1330690654             0.1429528852             0.1907664182             0.0000000000
          -49.9930690654             0.1533484995             0.1954883997             0.0000000000
          -48.8530690654             0.1653670618             0.2004115179             0.0000000000
          -47.7130690654             0.1793083295             0.2055529184             0.0000000000
