# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -226.5188464604             0.0055268788             0.0071579465             0.0000000000
         -225.3788464604             0.0055825769             0.0072321853             0.0000000000
         -224.2388464604             0.0056391194             0.0073069860             0.0000000000
         -223.0988464604             0.0056965234             0.0073823641             0.0000000000
         -221.9588464604             0.0057548064             0.0074583626             0.0000000000
         -220.8188464604             0.0058139866             0.0075350515             0.0000000000
         -219.6788464604             0.0058740823             0.0076123695             0.0000000000
         -218.5388464604             0.0059351124             0.0076903329             0.0000000000
         -217.3988464604             0.0059970965             0.0077690193             0.0000000000
         -216.2588464604             0.0060600544             0.0078484445             0.0000000000
         -215.1188464604             0.0061240065             0.0079285694             0.0000000000
         -213.9788464604             0.0061889740             0.0080094111             0.0000000000
         -212.8388464604             0.0062549784             0.0080910888             0.0000000000
         -211.6988464604             0.0063220417             0.0081735512             0.0000000000
         -210.5588464604             0.0063901867             0.0082567879             0.0000000000
         -209.4188464604             0.0064594367             0.0083408224             0.0000000000
         -208.2788464604             0.0065298157             0.0084258061             0.0000000000
         -207.1388464604             0.0066013483             0.0085116242             0.0000000000
         -205.9988464604             0.0066740598             0.0085982955             0.0000000000
         -204.8588464604             0.0067479762             0.0086858858             0.0000000000
         -203.7188464604             0.0068231241             0.0087744808             0.0000000000
         -202.5788464604             0.0068995310             0.0088639931             0.0000000000
         -201.4388464604             0.0069772252             0.0089544430             0.0000000000
         -200.2988464604             0.0070562355             0.0090459464             0.0000000000
         -199.1588464604             0.0071365919             0.0091385088             0.0000000000
         -198.0188464604             0.0072183249             0.0092320776             0.0000000000
         -196.8788464604             0.0073014662             0.0093266744             0.0000000000
         -195.7388464604             0.0073860481             0.0094224743             0.0000000000
         -194.5988464604             0.0074721041             0.0095193867             0.0000000000
         -193.4588464604             0.0075596685             0.0096174013             0.0000000000
         -192.3188464604             0.0076487767             0.0097165573             0.0000000000
         -191.1788464604             0.0077394649             0.0098170515             0.0000000000
         -190.0388464604             0.0078317709             0.0099187267             0.0000000000
         -188.8988464604             0.0079257330             0.0100216077             0.0000000000
         -187.7588464604             0.0080213910             0.0101257944             0.0000000000
         -186.6188464604             0.0081187859             0.0102313885             0.0000000000
         -185.4788464604             0.0082179599             0.0103382740             0.0000000000
         -184.3388464604             0.0083189563             0.0104464782             0.0000000000
         -183.1988464604             0.0084218201             0.0105561720             0.0000000000
         -182.0588464604             0.0085265972             0.0106673433             0.0000000000
         -180.9188464604             0.0086333354             0.0107799266             0.0000000000
         -179.7788464604             0.0087420837             0.0108939514             0.0000000000
         -178.6388464604             0.0088528927             0.0110096730             0.0000000000
         -177.4988464604             0.0089658147             0.0111269429             0.0000000000
         -176.3588464604             0.0090809035             0.0112457568             0.0000000000
         -175.2188464604             0.0091982147             0.0113661803             0.0000000000
         -174.0788464604             0.0093178057             0.0114884670             0.0000000000
         -172.9388464604             0.0094397357             0.0116124075             0.0000000000
         -171.7988464604             0.0095640659             0.0117380368             0.0000000000
         -170.6588464604             0.0096908595             0.0118655073             0.0000000000
         -169.5188464604             0.0098201818             0.0119949377             0.0000000000
         -168.3788464604             0.0099521001             0.0121261784             0.0000000000
         -167.2388464604             0.0100866841             0.0122592679             0.0000000000
         -166.0988464604             0.0102240059             0.0123944606             0.0000000000
         -164.9588464604             0.0103641399             0.0125317140             0.0000000000
         -163.8188464604             0.0105071632             0.0126709505             0.0000000000
         -162.6788464604             0.0106531553             0.0128122130             0.0000000000
         -161.5388464604             0.0108021986             0.0129558765             0.0000000000
         -160.3988464604             0.0109543785             0.0131017054             0.0000000000
         -159.2588464604             0.0111097832             0.0132497093             0.0000000000
         -158.1188464604             0.0112685040             0.0133999989             0.0000000000
         -156.9788464604             0.0114306355             0.0135529029             0.0000000000
         -155.8388464604             0.0115962757             0.0137081440             0.0000000000
         -154.6988464604             0.0117655261             0.0138657741             0.0000000000
         -153.5588464604             0.0119384919             0.0140260288             0.0000000000
         -152.4188464604             0.0121152822             0.0141890459             0.0000000000
         -151.2788464604             0.0122960099             0.0143546331             0.0000000000
         -150.1388464604             0.0124807923             0.0145228486             0.0000000000
         -148.9988464604             0.0126697510             0.0146940772             0.0000000000
         -147.8588464604             0.0128630122             0.0148682250             0.0000000000
         -146.7188464604             0.0130607068             0.0150452043             0.0000000000
         -145.5788464604             0.0132629707             0.0152250803             0.0000000000
         -144.4388464604             0.0134699451             0.0154084157             0.0000000000
         -143.2988464604             0.0136817767             0.0155948372             0.0000000000
         -142.1588464604             0.0138986177             0.0157843840             0.0000000000
         -141.0188464604             0.0141206265             0.0159772431             0.0000000000
         -139.8788464604             0.0143479676             0.0161738498             0.0000000000
