# Energy loss (eV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	Intra-t2g excitations (arb. units)	t2g-eg excitations (arb. units)
           -0.2265828451             0.0194540130             0.0086960272             0.0210088010             0.0000000000
           -0.2254428451             0.0196498059             0.0087898367             0.0212112340             0.0000000000
           -0.2243028451             0.0198485622             0.0088842132             0.0214154465             0.0000000000
           -0.2231628451             0.0200503417             0.0089791715             0.0216214523             0.0000000000
           -0.2220228451             0.0202552059             0.0090747265             0.0218292654             0.0000000000
           -0.2208828451             0.0204632178             0.0091708934             0.0220388999             0.0000000000
           -0.2197428451             0.0206744422             0.0092677107             0.0222503700             0.0000000000
           -0.2186028451             0.0208889453             0.0093652337             0.0224636898             0.0000000000
           -0.2174628451             0.0211067951             0.0094634195             0.0226788737             0.0000000000
           -0.2163228451             0.0213280614             0.0095622843             0.0228959361             0.0000000000
           -0.2151828451             0.0215528159             0.0096618446             0.0231148916             0.0000000000
           -0.2140428451             0.0217811321             0.0097621173             0.0233357548             0.0000000000
           -0.2129028451             0.0220130853             0.0098631728             0.0235585404             0.0000000000
           -0.2117628451             0.0222487531             0.0099650217             0.0237832632             0.0000000000
           -0.2106228451             0.0224882149             0.0100676391             0.0240099381             0.0000000000
           -0.2094828451             0.0227315524             0.0101710431             0.0242385802             0.0000000000
           -0.2083428451             0.0229788495             0.0102752520             0.0244692045             0.0000000000
           -0.2072028451             0.0232301922             0.0103802843             0.0247018262             0.0000000000
           -0.2060628451             0.0234856691             0.0104862513             0.0249364607             0.0000000000
           -0.2049228451             0.0237453709             0.0105931032             0.0251731233             0.0000000000
           -0.2037828451             0.0240093912             0.0107008409             0.0254118295             0.0000000000
           -0.2026428451             0.0242778258             0.0108094842             0.0256525950             0.0000000000
           -0.2015028451             0.0245507735             0.0109190535             0.0258954354             0.0000000000
           -0.2003628451             0.0248283356             0.0110295822             0.0261403665             0.0000000000
           -0.1992228451             0.0251106164             0.0111411939             0.0263874043             0.0000000000
           -0.1980828451             0.0253977231             0.0112537994             0.0266365647             0.0000000000
           -0.1969428451             0.0256897661             0.0113674207             0.0268878639             0.0000000000
           -0.1958028451             0.0259868587             0.0114820799             0.0271413180             0.0000000000
           -0.1946628451             0.0262891176             0.0115977997             0.0273969434             0.0000000000
           -0.1935228451             0.0265966629             0.0117146572             0.0276547565             0.0000000000
           -0.1923828451             0.0269096182             0.0118327146             0.0279147738             0.0000000000
           -0.1912428451             0.0272281107             0.0119519084             0.0281770119             0.0000000000
           -0.1901028451             0.0275522713             0.0120722630             0.0284414876             0.0000000000
           -0.1889628451             0.0278822348             0.0121938031             0.0287082178             0.0000000000
           -0.1878228451             0.0282181401             0.0123165541             0.0289772193             0.0000000000
           -0.1866828451             0.0285601301             0.0124406487             0.0292485093             0.0000000000
           -0.1855428451             0.0289083522             0.0125660679             0.0295221049             0.0000000000
           -0.1844028451             0.0292629581             0.0126927831             0.0297980233             0.0000000000
           -0.1832628451             0.0296241043             0.0128208217             0.0300762820             0.0000000000
           -0.1821228451             0.0299919519             0.0129502116             0.0303568985             0.0000000000
           -0.1809828451             0.0303666671             0.0130809813             0.0306398903             0.0000000000
           -0.1798428451             0.0307484214             0.0132133332             0.0309252752             0.0000000000
           -0.1787028451             0.0311373913             0.0133471434             0.0312130710             0.0000000000
           -0.1775628451             0.0315337591             0.0134824296             0.0315032956             0.0000000000
           -0.1764228451             0.0319377130             0.0136192227             0.0317959672             0.0000000000
           -0.1752828451             0.0323494467             0.0137575546             0.0320911039             0.0000000000
           -0.1741428451             0.0327691608             0.0138975001             0.0323887239             0.0000000000
           -0.1730028451             0.0331970616             0.0140392197             0.0326888456             0.0000000000
           -0.1718628451             0.0336333628             0.0141825850             0.0329914877             0.0000000000
           -0.1707228451             0.0340782846             0.0143276306             0.0332966687             0.0000000000
           -0.1695828451             0.0345320546             0.0144743918             0.0336044073             0.0000000000
           -0.1684428451             0.0349949080             0.0146229049             0.0339147225             0.0000000000
           -0.1673028451             0.0354670877             0.0147733205             0.0342276332             0.0000000000
           -0.1661628451             0.0359488447             0.0149256922             0.0345431585             0.0000000000
           -0.1650228451             0.0364404387             0.0150799381             0.0348613177             0.0000000000
           -0.1638828451             0.0369421380             0.0152360979             0.0351821300             0.0000000000
           -0.1627428451             0.0374542201             0.0153942122             0.0355056151             0.0000000000
           -0.1616028451             0.0379769720             0.0155543226             0.0358317924             0.0000000000
           -0.1604628451             0.0385106909             0.0157166755             0.0361606817             0.0000000000
           -0.1593228451             0.0390556840             0.0158811852             0.0364923028             0.0000000000
           -0.1581828451             0.0396122696             0.0160478319             0.0368266757             0.0000000000
           -0.1570428451             0.0401807770             0.0162166616             0.0371638205             0.0000000000
           -0.1559028451             0.0407615473             0.0163877211             0.0375037573             0.0000000000
           -0.1547628451             0.0413549339             0.0165610682             0.0378465066             0.0000000000
           -0.1536228451             0.0419613029             0.0167370408             0.0381920888             0.0000000000
           -0.1524828451             0.0425810336             0.0169154029             0.0385405245             0.0000000000
           -0.1513428451             0.0432145193             0.0170962065             0.0388918343             0.0000000000
           -0.1502028451             0.0438621678             0.0172795050             0.0392460393             0.0000000000
           -0.1490628451             0.0445244020             0.0174653531             0.0396031604             0.0000000000
           -0.1479228451             0.0452016604             0.0176539131             0.0399632186             0.0000000000
           -0.1467828451             0.0458943985             0.0178453841             0.0403262353             0.0000000000
           -0.1456428451             0.0466030886             0.0180395912             0.0406922318             0.0000000000
           -0.1445028451             0.0473282212             0.0182365951             0.0410612297             0.0000000000
           -0.1433628451             0.0480703058             0.0184364584             0.0414332505             0.0000000000
           -0.1422228451             0.0488298716             0.0186392454             0.0418083162             0.0000000000
           -0.1410828451             0.0496074682             0.0188452528             0.0421864486             0.0000000000
           -0.1399428451             0.0504036673             0.0190544951             0.0425676699             0.0000000000
           -0.1388028451             0.0512190630             0.0192668802             0.0429520021             0.0000000000
           -0.1376628451             0.0520542730             0.0194824801             0.0433394677             0.0000000000
           -0.1365228451             0.0529099402             0.0197013687             0.0437300892             0.0000000000
