# Energy loss (eV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations(arb. units)
           -0.2271196565             0.0164628811             0.0078245609             0.0000000000
           -0.2259796565             0.0166283546             0.0079393802             0.0000000000
           -0.2248396565             0.0167963301             0.0080545915             0.0000000000
           -0.2236996565             0.0169668583             0.0081702017             0.0000000000
           -0.2225596565             0.0171399910             0.0082862390             0.0000000000
           -0.2214196565             0.0173157814             0.0084027452             0.0000000000
           -0.2202796565             0.0174942841             0.0085196783             0.0000000000
           -0.2191396565             0.0176755550             0.0086370483             0.0000000000
           -0.2179996565             0.0178596516             0.0087549107             0.0000000000
           -0.2168596565             0.0180466327             0.0088732695             0.0000000000
           -0.2157196565             0.0182365587             0.0089921024             0.0000000000
           -0.2145796565             0.0184294918             0.0091114219             0.0000000000
           -0.2134396565             0.0186254955             0.0092313171             0.0000000000
           -0.2122996565             0.0188246353             0.0093517437             0.0000000000
           -0.2111596565             0.0190269781             0.0094727028             0.0000000000
           -0.2100196565             0.0192325930             0.0095942215             0.0000000000
           -0.2088796565             0.0194415505             0.0097163925             0.0000000000
           -0.2077396565             0.0196539236             0.0098391476             0.0000000000
           -0.2065996565             0.0198697867             0.0099625035             0.0000000000
           -0.2054596565             0.0200892165             0.0100865230             0.0000000000
           -0.2043196565             0.0203122919             0.0102112487             0.0000000000
           -0.2031796565             0.0205390939             0.0103366343             0.0000000000
           -0.2020396565             0.0207697057             0.0104626990             0.0000000000
           -0.2008996565             0.0210042129             0.0105895486             0.0000000000
           -0.1997596565             0.0212427035             0.0107171610             0.0000000000
           -0.1986196565             0.0214852679             0.0108455186             0.0000000000
           -0.1974796565             0.0217319993             0.0109746422             0.0000000000
           -0.1963396565             0.0219829932             0.0111046904             0.0000000000
           -0.1951996565             0.0222383483             0.0112355593             0.0000000000
           -0.1940596565             0.0224981658             0.0113672670             0.0000000000
           -0.1929196565             0.0227625501             0.0114998753             0.0000000000
           -0.1917796565             0.0230316084             0.0116334900             0.0000000000
           -0.1906396565             0.0233054512             0.0117680214             0.0000000000
           -0.1894996565             0.0235841923             0.0119034940             0.0000000000
           -0.1883596565             0.0238679490             0.0120400251             0.0000000000
           -0.1872196565             0.0241568417             0.0121776355             0.0000000000
           -0.1860796565             0.0244509950             0.0123162718             0.0000000000
           -0.1849396565             0.0247505368             0.0124559605             0.0000000000
           -0.1837996565             0.0250555992             0.0125968859             0.0000000000
           -0.1826596565             0.0253663181             0.0127389628             0.0000000000
           -0.1815196565             0.0256828340             0.0128821837             0.0000000000
           -0.1803796565             0.0260052913             0.0130265968             0.0000000000
           -0.1792396565             0.0263338391             0.0131724084             0.0000000000
           -0.1780996565             0.0266686315             0.0133194612             0.0000000000
           -0.1769596565             0.0270098269             0.0134677857             0.0000000000
           -0.1758196565             0.0273575892             0.0136175005             0.0000000000
           -0.1746796565             0.0277120874             0.0137687031             0.0000000000
           -0.1735396565             0.0280734959             0.0139212826             0.0000000000
           -0.1723996565             0.0284419948             0.0140752721             0.0000000000
           -0.1712596565             0.0288177702             0.0142308746             0.0000000000
           -0.1701196565             0.0292010141             0.0143880532             0.0000000000
           -0.1689796565             0.0295919251             0.0145467556             0.0000000000
           -0.1678396565             0.0299907081             0.0147070175             0.0000000000
           -0.1666996565             0.0303975753             0.0148691431             0.0000000000
