# 	L (r.l.u.)		Upper boundary (meV)		Lower boundary (meV)
        -1.20            58.6440180295            56.0921401166
        -1.19            55.8028574302            53.6394192687
        -1.18            52.9479919512            51.1337627900
        -1.17            50.0801368703            48.5776434609
        -1.16            47.2000133708            45.9735838625
        -1.15            44.3083492598            43.3241538873
        -1.14            41.4058800688            40.6319682028
        -1.13            38.4933507418            37.8996836712
        -1.12            35.5715182533            35.1299967276
        -1.11            32.6411557479            32.3256407184
        -1.10            29.7030592645            29.4893832046
        -1.09            26.7580590500            26.6240232299
        -1.08            23.8070394680            23.7323885586
        -1.07            20.8509760620            20.8173328851
        -1.06            17.8910096829            17.8817330173
        -1.05            14.9286092049            14.9284860378
        -1.04                      nan                      nan
        -1.03                      nan                      nan
        -1.02                      nan                      nan
        -1.01                      nan                      nan
        -1.00                      nan                      nan
        -0.99                      nan                      nan
        -0.98                      nan                      nan
        -0.97                      nan                      nan
        -0.96                      nan                      nan
        -0.95            14.9286092049            14.9284860378
        -0.94            17.8910096829            17.8817330173
        -0.93            20.8509760620            20.8173328851
        -0.92            23.8070394680            23.7323885586
        -0.91            26.7580590500            26.6240232299
        -0.90            29.7030592645            29.4893832046
        -0.89            32.6411557479            32.3256407184
        -0.88            35.5715182533            35.1299967276
        -0.87            38.4933507418            37.8996836712
        -0.86            41.4058800688            40.6319682028
        -0.85            44.3083492598            43.3241538873
        -0.84            47.2000133708            45.9735838625
        -0.83            50.0801368703            48.5776434609
        -0.82            52.9479919512            51.1337627900
        -0.81            55.8028574302            53.6394192687
        -0.80            58.6440180295            56.0921401166
        -0.79            61.4707639114            58.4895047943
        -0.78            64.2823903880            60.8291473922
        -0.77            67.0781977490            63.1087589657
        -0.76            69.8574911764            65.3260898133
        -0.75            72.6195807182            67.4789516971
        -0.74            75.3637813075            69.5652200025
        -0.73            78.0894128134            71.5828358344
        -0.72            80.7958001161            73.5298080496
        -0.71            83.4822731997            75.4042152217
        -0.70            86.1481672587            77.2042075370
        -0.69            88.7928228146            78.9280086205
        -0.68            91.4155858395            80.5739172885
        -0.67            94.0158078864            82.1403092280
        -0.66            96.5928462224            83.6256385992
        -0.65            99.1460639662            85.0284395613
        -0.64           101.6748302270            86.3473277192
        -0.63           104.1785202449            87.5810014895
        -0.62           106.6565155326            88.7282433851
        -0.61           109.1082040167            89.7879212167
        -0.60           111.5329801801            90.7589892104
        -0.59           113.9302452030            91.6404890391
        -0.58           116.2994071045            92.4315507691
        -0.57           118.6398808823            93.1313937179
        -0.56           120.9510886524            93.7393272249
        -0.55           123.2324597869            94.2547513333
        -0.54           125.4834310518            94.6771573816
        -0.53           127.7034467417            95.0061285061
        -0.52           129.8919588147            95.2413400520
        -0.51           132.0484270249            95.3825598938
        -0.50           134.1723190532            95.4296486648
        -0.49           136.2631106370            95.3825598938
        -0.48           138.3202856977            95.2413400520
        -0.47           140.3433364663            95.0061285061
        -0.46           142.3317636077            94.6771573816
        -0.45           144.2850763422            94.2547513333
        -0.44           146.2027925657            93.7393272249
        -0.43           148.0844389679            93.1313937179
        -0.42           149.9295511477            92.4315507691
        -0.41           151.7376737274            91.6404890391
        -0.40           153.5083604641            90.7589892104
        -0.39           155.2411743593            89.7879212167
        -0.38           156.9356877662            88.7282433851
        -0.37           158.5914824945            87.5810014895
        -0.36           160.2081499129            86.3473277192
        -0.35           161.7852910503            85.0284395613
        -0.34           163.3225166928            83.6256385992
        -0.33           164.8194474802            82.1403092280
        -0.32           166.2757139988            80.5739172885
        -0.31           167.6909568725            78.9280086205
        -0.30           169.0648268511            77.2042075370
        -0.29           170.3969848959            75.4042152217
        -0.28           171.6871022640            73.5298080496
        -0.27           172.9348605882            71.5828358344
        -0.26           174.1399519560            69.5652200025
        -0.25           175.3020789852            67.4789516971
        -0.24           176.4209548970            65.3260898133
        -0.23           177.4963035867            63.1087589657
        -0.22           178.5278596920            60.8291473922
        -0.21           179.5153686578            58.4895047943
        -0.20           180.4585867992            56.0921401166
        -0.19           181.3572813615            53.6394192687
        -0.18           182.2112305775            51.1337627900
        -0.17           183.0202237220            48.5776434609
        -0.16           183.7840611642            45.9735838625
        -0.15           184.5025544161            43.3241538873
        -0.14           185.1755261797            40.6319682028
        -0.13           185.8028103902            37.8996836712
        -0.12           186.3842522569            35.1299967276
        -0.11           186.9197083019            32.3256407184
